Directorate,Updated,TransNo,Service,Cost Centre,Supplier Name,Amount,Type
Adult & Community Services,10/23/2009,2621709,Windsor Leisure Centre,LL25,Brake Bros Foodservice Ltd,553.24,Revenue
Adult & Community Services,10/23/2009,2621722,Windsor Leisure Centre,LL25,Brake Bros Foodservice Ltd,873.44,Revenue
Adult & Community Services,11/17/2009,2626295,Windsor Leisure Centre,LL25,Brake Bros Foodservice Ltd,548.24,Revenue
Adult & Community Services,9/1/2009,2611882,Windsor Leisure Centre,LL25,Brambles Foods Ltd,572.97,Revenue
Adult & Community Services,9/7/2009,2612667,Windsor Leisure Centre,LL25,Brambles Foods Ltd,572.53,Revenue
Adult & Community Services,9/30/2009,2616207,Windsor Leisure Centre,LL25,Brambles Foods Ltd,572.97,Revenue
Adult & Community Services,10/14/2009,2620408,Windsor Leisure Centre,LL25,Brambles Foods Ltd,"1,449.36",Revenue
Adult & Community Services,10/23/2009,2621528,Windsor Leisure Centre,LL25,Brambles Foods Ltd,572.97,Revenue
Adult & Community Services,9/1/2009,2611840,Windsor Leisure Centre,LL05,Brandshill Lighting Services,710.06,Revenue
Adult & Community Services,10/1/2009,2617466,Windsor Leisure Centre,LL05,Chubb Electronic Security Systems Ltd,797.29,Revenue
Adult & Community Services,10/29/2009,2623444,Windsor Leisure Centre,LL05,Chubb Fire Ltd,557.05,Revenue
Adult & Community Services,10/29/2009,2623445,Windsor Leisure Centre,LL05,Chubb Fire Ltd,504.4,Revenue
Adult & Community Services,9/1/2009,2611872,Windsor Leisure Centre,LL25,Coca-Cola Enterprise Ltd,606.64,Revenue
Adult & Community Services,9/1/2009,2611877,Windsor Leisure Centre,LL25,Coca-Cola Enterprise Ltd,805,Revenue
Adult & Community Services,9/30/2009,2616174,Windsor Leisure Centre,LL25,Coca-Cola Enterprise Ltd,893.94,Revenue
Adult & Community Services,10/1/2009,2617618,Windsor Leisure Centre,LL25,Coca-Cola Enterprise Ltd,687.4,Revenue
Adult & Community Services,10/29/2009,2623580,Windsor Leisure Centre,LL25,Coca-Cola Enterprise Ltd,612,Revenue
Adult & Community Services,12/21/2009,2632053,Windsor Leisure Centre,LL25,Coca-Cola Enterprise Ltd,"1,094.81",Revenue
Adult & Community Services,9/18/2009,2614926,Windsor Leisure Centre,LL05,Cogenco Limited,"1,761.98",Revenue
Adult & Community Services,11/5/2009,2624377,Windsor Leisure Centre,LL05,Cogenco Limited,"2,028.68",Revenue
Adult & Community Services,11/12/2009,2625811,Windsor Leisure Centre,LL05,Cogenco Limited,"2,587.84",Revenue
Adult & Community Services,12/21/2009,2632461,Windsor Leisure Centre,LL05,Cogenco Limited,"2,551.98",Revenue
Adult & Community Services,11/19/2009,2626852,Windsor Leisure Centre,LL05,Complete Electrical Services,583,Revenue
Adult & Community Services,11/27/2009,2628382,Windsor Leisure Centre,LL05,Dalesauna Ltd,922.55,Revenue
Adult & Community Services,9/7/2009,2612968,Windsor Leisure Centre,LL05,Dowding & Son Ltd,"1,580.00",Revenue
Adult & Community Services,9/1/2009,2611828,Windsor Leisure Centre,LL25,Fulfil,521.71,Revenue
Adult & Community Services,10/23/2009,2621692,Windsor Leisure Centre,LL25,Fulfil,739.72,Revenue
Adult & Community Services,9/1/2009,2611889,Windsor Leisure Centre,LL05,G T Refrigeration (Chertsey) Ltd,"1,500.00",Revenue
Adult & Community Services,11/27/2009,2628605,Windsor Leisure Centre,LL05,G T Refrigeration (Chertsey) Ltd,"1,678.00",Revenue
Adult & Community Services,12/15/2009,2632227,Windsor Leisure Centre,LL05,G T Refrigeration (Chertsey) Ltd,"1,500.00",Revenue
Adult & Community Services,9/7/2009,2612654,Windsor Leisure Centre,LL05,Graham,707.7,Revenue
Adult & Community Services,9/30/2009,2616093,Windsor Leisure Centre,LL05,Grundon Waste Management Ltd,905.37,Revenue
Adult & Community Services,9/30/2009,2616095,Windsor Leisure Centre,LL05,Grundon Waste Management Ltd,736.69,Revenue
Adult & Community Services,10/16/2009,2621065,Windsor Leisure Centre,LL05,Grundon Waste Management Ltd,"1,050.90",Revenue
Adult & Community Services,10/16/2009,2621066,Windsor Leisure Centre,LL05,Grundon Waste Management Ltd,771.45,Revenue
Adult & Community Services,11/19/2009,2626892,Windsor Leisure Centre,LL05,Grundon Waste Management Ltd,"1,041.37",Revenue
Adult & Community Services,11/19/2009,2626896,Windsor Leisure Centre,LL05,Grundon Waste Management Ltd,622.09,Revenue
Adult & Community Services,12/21/2009,2632766,Windsor Leisure Centre,LL05,Grundon Waste Management Ltd,"1,362.48",Revenue
Adult & Community Services,9/1/2009,2611624,Windsor Leisure Centre,LL05,H2O Servicing Limited,"2,725.00",Revenue
Adult & Community Services,10/7/2009,2618452,Windsor Leisure Centre,LL05,Haystack Dryers,"1,347.40",Revenue
Adult & Community Services,10/16/2009,2621100,Windsor Leisure Centre,LL15,Horseman Coaches Ltd,680,Revenue
Adult & Community Services,10/16/2009,2621101,Windsor Leisure Centre,LL15,Horseman Coaches Ltd,680,Revenue
Adult & Community Services,10/16/2009,2621102,Windsor Leisure Centre,LL15,Horseman Coaches Ltd,680,Revenue
Adult & Community Services,10/16/2009,2621104,Windsor Leisure Centre,LL15,Horseman Coaches Ltd,510,Revenue
Adult & Community Services,10/16/2009,2621106,Windsor Leisure Centre,LL15,Horseman Coaches Ltd,500,Revenue
Adult & Community Services,10/16/2009,2621107,Windsor Leisure Centre,LL15,Horseman Coaches Ltd,680,Revenue
Adult & Community Services,10/16/2009,2621108,Windsor Leisure Centre,LL15,Horseman Coaches Ltd,510,Revenue
Adult & Community Services,11/12/2009,2625307,Windsor Leisure Centre,LL15,Horseman Coaches Ltd,680,Revenue
Adult & Community Services,11/12/2009,2625311,Windsor Leisure Centre,LL15,Horseman Coaches Ltd,635,Revenue
Adult & Community Services,11/12/2009,2625318,Windsor Leisure Centre,LL15,Horseman Coaches Ltd,510,Revenue
Adult & Community Services,11/12/2009,2625326,Windsor Leisure Centre,LL15,Horseman Coaches Ltd,500,Revenue
Adult & Community Services,11/12/2009,2625333,Windsor Leisure Centre,LL15,Horseman Coaches Ltd,680,Revenue
Adult & Community Services,11/12/2009,2625338,Windsor Leisure Centre,LL15,Horseman Coaches Ltd,500,Revenue
Adult & Community Services,11/12/2009,2625339,Windsor Leisure Centre,LL15,Horseman Coaches Ltd,510,Revenue
Adult & Community Services,11/12/2009,2625344,Windsor Leisure Centre,LL15,Horseman Coaches Ltd,510,Revenue
Adult & Community Services,12/11/2009,2631554,Windsor Leisure Centre,LL05,JKL Clothing Ltd,573.72,Revenue
Adult & Community Services,9/1/2009,2611861,Windsor Leisure Centre,LL15,Kelloggs ASA Award Scheme,610,Revenue
Adult & Community Services,12/21/2009,2632056,Windsor Leisure Centre,LL40,Kelloggs ASA Award Scheme,685,Revenue
Adult & Community Services,11/16/2009,2626495,Windsor Leisure Centre,LL05,Key Floors Ltd,"1,241.00",Revenue
Adult & Community Services,12/15/2009,2631994,Windsor Leisure Centre,LL05,Key Floors Ltd,"1,511.00",Revenue
Adult & Community Services,12/15/2009,2632207,Windsor Leisure Centre,LL05,Key Floors Ltd,"1,021.00",Revenue
Adult & Community Services,11/27/2009,2628468,Windsor Leisure Centre,LL05,Machine Mart Ltd,788.13,Revenue
Adult & Community Services,9/1/2009,2611654,Windsor Leisure Centre,LL05,Power Plate International Ltd,"5,837.24",Revenue
Adult & Community Services,12/14/2009,2631315,Windsor Leisure Centre,LL05,Rexel Senate Electrical Supplies,506.25,Revenue
Adult & Community Services,11/12/2009,2625842,Windsor Leisure Centre,LL05,Siemens PLC,923,Revenue
Adult & Community Services,9/24/2009,2616375,Windsor Leisure Centre,LR60,Slough Borough Council,"3,320.70",Revenue
Adult & Community Services,11/17/2009,2626029,Windsor Leisure Centre,LL05,Solo Service Group,"6,330.00",Revenue
Adult & Community Services,10/29/2009,2623469,Windsor Leisure Centre,LL05,Southern Bearing Ltd,"3,243.00",Revenue
Adult & Community Services,10/29/2009,2623470,Windsor Leisure Centre,LL05,Southern Bearing Ltd,"3,499.25",Revenue
Adult & Community Services,10/29/2009,2623472,Windsor Leisure Centre,LL05,Southern Bearing Ltd,"1,989.92",Revenue
Adult & Community Services,10/29/2009,2623473,Windsor Leisure Centre,LL05,Southern Bearing Ltd,"1,816.53",Revenue
Adult & Community Services,10/29/2009,2623474,Windsor Leisure Centre,LL05,Southern Bearing Ltd,"1,165.74",Revenue
Adult & Community Services,10/29/2009,2623476,Windsor Leisure Centre,LL25,Southern Bearing Ltd,"4,262.90",Revenue
Adult & Community Services,10/1/2009,2617469,Windsor Leisure Centre,LL05,T J Foster & Co Ltd,"1,603.00",Revenue
Adult & Community Services,10/28/2009,2623666,Windsor Leisure Centre,LL05,Thames Water,790,Revenue
Adult & Community Services,12/4/2009,2629853,Windsor Leisure Centre,LL05,Thames Water,"7,073.54",Revenue
Adult & Community Services,9/7/2009,2612675,Windsor Leisure Centre,LL05,Thames Water Utilities Ltd,"7,199.13",Revenue
Adult & Community Services,10/7/2009,2618839,Windsor Leisure Centre,LL05,Thames Water Utilities Ltd,"5,698.51",Revenue
Adult & Community Services,11/2/2009,2623992,Windsor Leisure Centre,LL05,Thames Water Utilities Ltd,"3,906.96",Revenue
Adult & Community Services,9/30/2009,2615433,Windsor Leisure Centre,LL05,Total Gas & Power Limited,"9,787.24",Revenue
Adult & Community Services,10/16/2009,2621043,Windsor Leisure Centre,LL05,Total Gas & Power Limited,"9,484.86",Revenue
Adult & Community Services,11/18/2009,2627069,Windsor Leisure Centre,LL05,Total Gas & Power Limited,"12,213.89",Revenue
Adult & Community Services,9/1/2009,2611879,Windsor Leisure Centre,LL40,Zoggs International Ltd,"1,018.27",Revenue
Adult & Community Services,9/1/2009,2611880,Windsor Leisure Centre,LL40,Zoggs International Ltd,"2,520.84",Revenue
Adult & Community Services,9/30/2009,2616101,Windsor Leisure Centre,LL40,Zoggs International Ltd,"2,740.80",Revenue
Adult & Community Services,10/7/2009,2618907,Windsor Leisure Centre,LL40,Zoggs International Ltd,576,Revenue
Adult & Community Services,10/16/2009,2621071,Windsor Leisure Centre,LL40,Zoggs International Ltd,"1,396.80",Revenue
Adult & Community Services,11/19/2009,2626878,Windsor Leisure Centre,LL40,Zoggs International Ltd,"1,248.00",Revenue
Childrens Services,9/18/2009,2615503,Children's Services Management Team,HE01,Banner Business Services Ltd,"1,490.01",Revenue
Childrens Services,11/4/2009,2624601,Children's Services Management Team,HE01,Banner Business Services Ltd,519.69,Revenue
Childrens Services,10/12/2009,2619852,Children's Services Management Team,HE10,BT iNet,940.6,Revenue
Childrens Services,9/3/2009,2612659,Children's Services Management Team,HE01,Chandlers Removals,"1,720.00",Revenue
Childrens Services,9/3/2009,2612662,Children's Services Management Team,HE01,Chandlers Removals,"1,440.00",Revenue
Childrens Services,9/12/2009,2614185,Children's Services Management Team,HE01,Chandlers Removals,"1,780.00",Revenue
Childrens Services,9/7/2009,2613005,Children's Services Management Team,SCMM,Clarity Computer Supplies Ltd,"1,047.88",Revenue
Childrens Services,10/20/2009,2621906,Children's Services Management Team,HE01,Clarity Computer Supplies Ltd,659.75,Revenue
Childrens Services,9/1/2009,2612302,Children's Services Management Team,HE15,Eurotek Office Furniture Ltd,"1,792.00",Revenue
Childrens Services,11/17/2009,2626547,Children's Services Management Team,HB38,Family Friends In Windsor And Maidenhead,"36,600.00",Revenue
Childrens Services,9/3/2009,2612685,Children's Services Management Team,HE10,Herald Productions Limited,526,Revenue
Childrens Services,9/3/2009,2612684,Children's Services Management Team,HE10,Hertfordshire County Council,"1,693.00",Revenue
Childrens Services,10/29/2009,2623732,Children's Services Management Team,HE01,Reconstruct Training,"9,578.20",Revenue
Childrens Services,10/29/2009,2623739,Children's Services Management Team,HE01,Slough Borough Council,"4,048.00",Revenue
Childrens Services,10/16/2009,2620704,Children's Services Management Team,HE15,Slough Community Leisure Limited,"1,897.00",Revenue
Childrens Services,10/13/2009,2619694,Commissioning Children's Services,EC5G,1st Class Carriage,"2,447.00",Revenue
Childrens Services,11/9/2009,2625134,Commissioning Children's Services,EC5G,1st Class Carriage,"2,012.00",Revenue
Childrens Services,12/7/2009,2630324,Commissioning Children's Services,EC5G,1st Class Carriage,"3,095.00",Revenue
Childrens Services,9/24/2009,2614151,Commissioning Children's Services,EC5A,Abba Cars,"1,440.00",Revenue
Childrens Services,9/24/2009,2614151,Commissioning Children's Services,EC5B,Abba Cars,718,Revenue
Childrens Services,9/24/2009,2614151,Commissioning Children's Services,EC5C,Abba Cars,"1,230.48",Revenue
Childrens Services,9/24/2009,2614151,Commissioning Children's Services,EC5F,Abba Cars,"19,408.63",Revenue
Childrens Services,9/24/2009,2614151,Commissioning Children's Services,EC5G,Abba Cars,"3,113.49",Revenue
Childrens Services,9/24/2009,2614151,Commissioning Children's Services,EC5N,Abba Cars,720.3,Revenue
Childrens Services,10/26/2009,2622947,Commissioning Children's Services,EC5A,Abba Cars,"1,550.13",Revenue
Childrens Services,10/26/2009,2622947,Commissioning Children's Services,EC5B,Abba Cars,"2,768.90",Revenue
Childrens Services,10/26/2009,2622947,Commissioning Children's Services,EC5F,Abba Cars,"21,307.64",Revenue
Childrens Services,10/26/2009,2622947,Commissioning Children's Services,EC5G,Abba Cars,"1,904.30",Revenue
Childrens Services,10/26/2009,2622947,Commissioning Children's Services,EC5L,Abba Cars,"1,445.23",Revenue
Childrens Services,11/9/2009,2625058,Commissioning Children's Services,EC5A,Abba Cars,"1,220.45",Revenue
Childrens Services,11/9/2009,2625058,Commissioning Children's Services,EC5B,Abba Cars,992,Revenue
Childrens Services,11/9/2009,2625058,Commissioning Children's Services,EC5C,Abba Cars,595.89,Revenue
Childrens Services,11/9/2009,2625058,Commissioning Children's Services,EC5F,Abba Cars,"17,214.99",Revenue
Childrens Services,11/9/2009,2625058,Commissioning Children's Services,EC5G,Abba Cars,"1,056.34",Revenue
Childrens Services,11/9/2009,2625058,Commissioning Children's Services,EC5L,Abba Cars,"1,105.00",Revenue
Childrens Services,12/16/2009,2632294,Commissioning Children's Services,EC5A,Abba Cars,"2,263.64",Revenue
Childrens Services,12/16/2009,2632294,Commissioning Children's Services,EC5B,Abba Cars,"1,964.34",Revenue
Childrens Services,12/16/2009,2632294,Commissioning Children's Services,EC5D,Abba Cars,"1,176.00",Revenue
Childrens Services,12/16/2009,2632294,Commissioning Children's Services,EC5F,Abba Cars,"18,900.36",Revenue
Childrens Services,11/9/2009,2624744,Commissioning Children's Services,EC5A,Apollo Cars,760,Revenue
Childrens Services,11/9/2009,2624746,Commissioning Children's Services,EC5A,Apollo Cars,646,Revenue
Childrens Services,12/15/2009,2631931,Commissioning Children's Services,EC5A,Apollo Cars,760,Revenue
Childrens Services,10/2/2009,2618299,Commissioning Children's Services,EF20,Berkshire East PCT Community Health Services,"64,906.00",Revenue
Childrens Services,12/3/2009,2629908,Commissioning Children's Services,EF20,Berkshire East PCT Community Health Services,"9,500.00",Revenue
Childrens Services,9/17/2009,2615009,Commissioning Children's Services,EC5D,Bracknell Forest Borough Council,820.15,Revenue
Childrens Services,9/17/2009,2615009,Commissioning Children's Services,EC5F,Bracknell Forest Borough Council,"2,460.45",Revenue
Childrens Services,9/17/2009,2615009,Commissioning Children's Services,EC5G,Bracknell Forest Borough Council,820.15,Revenue
Childrens Services,10/2/2009,2618249,Commissioning Children's Services,EC5F,Courtney Coaches Ltd,"2,480.40",Revenue
Childrens Services,10/2/2009,2618251,Commissioning Children's Services,EC5B,Courtney Coaches Ltd,"7,566.28",Revenue
Childrens Services,10/2/2009,2618251,Commissioning Children's Services,EC5G,Courtney Coaches Ltd,"1,472.06",Revenue
Childrens Services,10/13/2009,2618734,Commissioning Children's Services,EC5K,Courtney Coaches Ltd,"1,305.78",Revenue
Childrens Services,11/9/2009,2624675,Commissioning Children's Services,EC5F,Courtney Coaches Ltd,"1,860.30",Revenue
Childrens Services,11/9/2009,2624752,Commissioning Children's Services,EC5K,Courtney Coaches Ltd,"1,031.46",Revenue
Childrens Services,12/3/2009,2629810,Commissioning Children's Services,EC5F,Courtney Coaches Ltd,"2,604.42",Revenue
Childrens Services,12/7/2009,2630284,Commissioning Children's Services,EC5K,Courtney Coaches Ltd,"1,305.78",Revenue
Childrens Services,10/13/2009,2619146,Commissioning Children's Services,EC5F,Crown Wheelchair Travel,616.96,Revenue
Childrens Services,10/29/2009,2623656,Commissioning Children's Services,EC5F,Crown Wheelchair Travel,"1,079.68",Revenue
Childrens Services,12/10/2009,2630957,Commissioning Children's Services,EC5F,Crown Wheelchair Travel,"1,388.16",Revenue
Childrens Services,10/2/2009,2618062,Commissioning Children's Services,EC5B,Eton Cars,"1,470.00",Revenue
Childrens Services,10/2/2009,2618062,Commissioning Children's Services,EC5F,Eton Cars,"2,512.79",Revenue
Childrens Services,10/2/2009,2618062,Commissioning Children's Services,EC5G,Eton Cars,"4,706.93",Revenue
Childrens Services,10/2/2009,2618062,Commissioning Children's Services,EC5L,Eton Cars,"1,049.79",Revenue
Childrens Services,10/27/2009,2623221,Commissioning Children's Services,EC5B,Eton Cars,"1,120.00",Revenue
Childrens Services,10/27/2009,2623221,Commissioning Children's Services,EC5F,Eton Cars,"3,117.89",Revenue
Childrens Services,10/27/2009,2623221,Commissioning Children's Services,EC5G,Eton Cars,"3,841.01",Revenue
Childrens Services,10/27/2009,2623221,Commissioning Children's Services,EC5L,Eton Cars,"1,099.79",Revenue
Childrens Services,12/4/2009,2629941,Commissioning Children's Services,EC5B,Eton Cars,"1,330.00",Revenue
Childrens Services,12/4/2009,2629941,Commissioning Children's Services,EC5F,Eton Cars,"4,436.28",Revenue
Childrens Services,12/4/2009,2629941,Commissioning Children's Services,EC5G,Eton Cars,"4,701.95",Revenue
Childrens Services,12/4/2009,2629941,Commissioning Children's Services,EC5L,Eton Cars,920.43,Revenue
Childrens Services,10/13/2009,2620081,Commissioning Children's Services,EK83,Family Friends In Windsor And Maidenhead,"6,600.00",Revenue
Childrens Services,10/2/2009,2618257,Commissioning Children's Services,EC5D,Fargo Coaches,"3,390.30",Revenue
Childrens Services,10/2/2009,2618257,Commissioning Children's Services,EC5G,Fargo Coaches,678.09,Revenue
Childrens Services,10/13/2009,2619695,Commissioning Children's Services,EC5B,Fargo Coaches,"2,853.56",Revenue
Childrens Services,11/9/2009,2625055,Commissioning Children's Services,EC5B,Fargo Coaches,"2,480.00",Revenue
Childrens Services,12/7/2009,2630332,Commissioning Children's Services,EC5B,Fargo Coaches,"2,872.06",Revenue
Childrens Services,10/15/2009,2620495,Commissioning Children's Services,EC5B,Fernhill Travel,"4,223.33",Revenue
Childrens Services,11/9/2009,2625050,Commissioning Children's Services,EC5B,Fernhill Travel,"3,598.09",Revenue
Childrens Services,12/7/2009,2630328,Commissioning Children's Services,EC5B,Fernhill Travel,"4,448.89",Revenue
Childrens Services,10/29/2009,2623648,Commissioning Children's Services,EC5B,First Beeline Buses Ltd,"2,255.84",Revenue
Childrens Services,10/29/2009,2623650,Commissioning Children's Services,EC5B,First Beeline Buses Ltd,"2,819.80",Revenue
Childrens Services,11/9/2009,2624661,Commissioning Children's Services,EC5A,First Beeline Buses Ltd,715.32,Revenue
Childrens Services,11/9/2009,2624661,Commissioning Children's Services,EC5B,First Beeline Buses Ltd,"6,620.22",Revenue
Childrens Services,11/9/2009,2624661,Commissioning Children's Services,EC5C,First Beeline Buses Ltd,953.76,Revenue
Childrens Services,11/9/2009,2624661,Commissioning Children's Services,EC5D,First Beeline Buses Ltd,"2,861.28",Revenue
Childrens Services,11/9/2009,2624661,Commissioning Children's Services,HB36,First Beeline Buses Ltd,715.32,Revenue
Childrens Services,10/13/2009,2619351,Commissioning Children's Services,EC5B,First Greater Western Ltd,"11,780.28",Revenue
Childrens Services,10/13/2009,2619351,Commissioning Children's Services,EC5C,First Greater Western Ltd,"27,094.65",Revenue
Childrens Services,10/13/2009,2619351,Commissioning Children's Services,EC5D,First Greater Western Ltd,"28,538.71",Revenue
Childrens Services,10/13/2009,2619351,Commissioning Children's Services,EC5G,First Greater Western Ltd,"23,256.84",Revenue
Childrens Services,10/13/2009,2619351,Commissioning Children's Services,HB36,First Greater Western Ltd,798.02,Revenue
Childrens Services,10/29/2009,2623818,Commissioning Children's Services,EC5C,First Greater Western Ltd,"1,868.63",Revenue
Childrens Services,10/29/2009,2623818,Commissioning Children's Services,EC5D,First Greater Western Ltd,834.35,Revenue
Childrens Services,11/9/2009,2624673,Commissioning Children's Services,EC5C,First Greater Western Ltd,543.14,Revenue
Childrens Services,12/7/2009,2630326,Commissioning Children's Services,EC5C,First Greater Western Ltd,819.11,Revenue
Childrens Services,10/27/2009,2623499,Commissioning Children's Services,EC5A,Five Star Radio Cars Ltd,"2,155.44",Revenue
Childrens Services,10/27/2009,2623499,Commissioning Children's Services,EC5B,Five Star Radio Cars Ltd,"1,452.19",Revenue
Childrens Services,10/27/2009,2623499,Commissioning Children's Services,EC5F,Five Star Radio Cars Ltd,"19,450.93",Revenue
Childrens Services,10/27/2009,2623499,Commissioning Children's Services,EC5G,Five Star Radio Cars Ltd,904.79,Revenue
Childrens Services,11/16/2009,2626335,Commissioning Children's Services,EC5A,Five Star Radio Cars Ltd,"1,754.74",Revenue
Childrens Services,11/16/2009,2626335,Commissioning Children's Services,EC5B,Five Star Radio Cars Ltd,"1,590.18",Revenue
Childrens Services,11/16/2009,2626335,Commissioning Children's Services,EC5F,Five Star Radio Cars Ltd,"16,719.87",Revenue
Childrens Services,12/16/2009,2632169,Commissioning Children's Services,EC5A,Five Star Radio Cars Ltd,"2,263.64",Revenue
Childrens Services,12/16/2009,2632169,Commissioning Children's Services,EC5B,Five Star Radio Cars Ltd,"1,964.34",Revenue
Childrens Services,12/16/2009,2632169,Commissioning Children's Services,EC5D,Five Star Radio Cars Ltd,"1,176.00",Revenue
Childrens Services,12/16/2009,2632169,Commissioning Children's Services,EC5F,Five Star Radio Cars Ltd,"19,445.85",Revenue
Childrens Services,11/2/2009,2623975,Commissioning Children's Services,HC23,Gill Keene,"5,490.00",Revenue
Childrens Services,12/17/2009,2632700,Commissioning Children's Services,HC23,Gill Keene,"6,030.00",Revenue
Childrens Services,10/2/2009,2618255,Commissioning Children's Services,EC5A,Golden Executive,869.47,Revenue
Childrens Services,10/2/2009,2618255,Commissioning Children's Services,EC5B,Golden Executive,833.65,Revenue
Childrens Services,10/2/2009,2618255,Commissioning Children's Services,EC5F,Golden Executive,"17,203.70",Revenue
Childrens Services,10/2/2009,2618255,Commissioning Children's Services,EC5G,Golden Executive,"4,813.98",Revenue
Childrens Services,10/26/2009,2623171,Commissioning Children's Services,EC5A,Golden Executive,"1,749.11",Revenue
Childrens Services,10/26/2009,2623171,Commissioning Children's Services,EC5B,Golden Executive,797.17,Revenue
Childrens Services,10/26/2009,2623171,Commissioning Children's Services,EC5F,Golden Executive,"15,919.73",Revenue
Childrens Services,10/26/2009,2623171,Commissioning Children's Services,EC5G,Golden Executive,"2,662.58",Revenue
Childrens Services,12/1/2009,2629298,Commissioning Children's Services,EC5F,Golden Executive,"1,785.78",Revenue
Childrens Services,12/4/2009,2629682,Commissioning Children's Services,EC5A,Golden Executive,"2,446.39",Revenue
Childrens Services,12/4/2009,2629682,Commissioning Children's Services,EC5B,Golden Executive,918.96,Revenue
Childrens Services,12/4/2009,2629682,Commissioning Children's Services,EC5C,Golden Executive,582,Revenue
Childrens Services,12/4/2009,2629682,Commissioning Children's Services,EC5F,Golden Executive,"19,881.40",Revenue
Childrens Services,12/4/2009,2629682,Commissioning Children's Services,EC5G,Golden Executive,"3,409.40",Revenue
Childrens Services,10/28/2009,2622407,Commissioning Children's Services,EC5B,Imperial Taxis,"1,811.64",Revenue
Childrens Services,10/28/2009,2622407,Commissioning Children's Services,EC5C,Imperial Taxis,671.17,Revenue
Childrens Services,10/28/2009,2622407,Commissioning Children's Services,EC5F,Imperial Taxis,"12,848.92",Revenue
Childrens Services,10/28/2009,2622407,Commissioning Children's Services,EC5G,Imperial Taxis,"3,714.72",Revenue
Childrens Services,10/28/2009,2622407,Commissioning Children's Services,EC5L,Imperial Taxis,763.98,Revenue
Childrens Services,11/9/2009,2625142,Commissioning Children's Services,EC5B,Imperial Taxis,"1,195.19",Revenue
Childrens Services,11/9/2009,2625142,Commissioning Children's Services,EC5F,Imperial Taxis,"11,459.52",Revenue
Childrens Services,11/9/2009,2625142,Commissioning Children's Services,EC5G,Imperial Taxis,"3,094.75",Revenue
Childrens Services,11/9/2009,2625142,Commissioning Children's Services,EC5L,Imperial Taxis,618.46,Revenue
Childrens Services,11/9/2009,2625142,Commissioning Children's Services,EC5N,Imperial Taxis,597.03,Revenue
Childrens Services,12/16/2009,2632179,Commissioning Children's Services,EC5B,Imperial Taxis,"1,833.65",Revenue
Childrens Services,12/16/2009,2632179,Commissioning Children's Services,EC5F,Imperial Taxis,"15,009.63",Revenue
Childrens Services,12/16/2009,2632179,Commissioning Children's Services,EC5G,Imperial Taxis,"3,852.44",Revenue
Childrens Services,12/16/2009,2632179,Commissioning Children's Services,EC5L,Imperial Taxis,763.98,Revenue
Childrens Services,12/16/2009,2632179,Commissioning Children's Services,EC5N,Imperial Taxis,767.61,Revenue
Childrens Services,11/9/2009,2625041,Commissioning Children's Services,EC5F,In Car Safety,540.94,Revenue
Childrens Services,10/6/2009,2616567,Commissioning Children's Services,EC50,James Cornwell,"6,045.00",Revenue
Childrens Services,9/3/2009,2612584,Commissioning Children's Services,HC21,Kennington Educational Services Ltd,762.4,Revenue
Childrens Services,10/12/2009,2618968,Commissioning Children's Services,HC21,Kennington Educational Services Ltd,"2,801.60",Revenue
Childrens Services,11/4/2009,2624440,Commissioning Children's Services,HC21,Kennington Educational Services Ltd,"2,284.80",Revenue
Childrens Services,12/5/2009,2629723,Commissioning Children's Services,HC21,Kennington Educational Services Ltd,"2,530.80",Revenue
Childrens Services,10/13/2009,2619147,Commissioning Children's Services,EC5B,Lianne Coach Hire,"3,600.47",Revenue
Childrens Services,10/13/2009,2619148,Commissioning Children's Services,EC5B,Lianne Coach Hire,"3,103.65",Revenue
Childrens Services,11/9/2009,2624659,Commissioning Children's Services,EC5B,Lianne Coach Hire,"2,850.00",Revenue
Childrens Services,11/9/2009,2624669,Commissioning Children's Services,EC5B,Lianne Coach Hire,"2,664.76",Revenue
Childrens Services,12/7/2009,2630329,Commissioning Children's Services,EC5B,Lianne Coach Hire,"3,611.91",Revenue
Childrens Services,12/7/2009,2630330,Commissioning Children's Services,EC5B,Lianne Coach Hire,"3,990.00",Revenue
Childrens Services,9/24/2009,2615619,Commissioning Children's Services,EC5F,Quality Care Homes (UK) Ltd,"1,216.00",Revenue
Childrens Services,10/15/2009,2620492,Commissioning Children's Services,EC5F,Quality Care Homes (UK) Ltd,"1,444.00",Revenue
Childrens Services,11/12/2009,2625717,Commissioning Children's Services,EC5F,Quality Care Homes (UK) Ltd,"1,216.00",Revenue
Childrens Services,12/10/2009,2630960,Commissioning Children's Services,EC5F,Quality Care Homes (UK) Ltd,"1,596.00",Revenue
Childrens Services,11/9/2009,2625112,Commissioning Children's Services,EC5B,Reading & Wokingham Services Ltd,"1,305.00",Revenue
Childrens Services,12/3/2009,2629817,Commissioning Children's Services,EC5B,Reading & Wokingham Services Ltd,"3,045.00",Revenue
Childrens Services,10/15/2009,2620489,Commissioning Children's Services,EC5F,SLK Services (Mr Wali Nazir),"9,658.27",Revenue
Childrens Services,10/15/2009,2620489,Commissioning Children's Services,EC5G,SLK Services (Mr Wali Nazir),"1,259.07",Revenue
Childrens Services,10/27/2009,2623223,Commissioning Children's Services,EC5B,SLK Services (Mr Wali Nazir),"2,080.00",Revenue
Childrens Services,10/27/2009,2623223,Commissioning Children's Services,EC5F,SLK Services (Mr Wali Nazir),"7,272.00",Revenue
