Directorate,Updated,TransNo,Service,Supplier Name,Amount
Adult & Community Services,08/09/2009,2612924,Safeguarding & Specialist Services,Fitzgerald Fostering and Consultancy Ltd,"1,200.00"
Adult & Community Services,24/09/2009,2616441,Safeguarding & Specialist Services,Fitzgerald Fostering and Consultancy Ltd,"5,929.20"
Adult & Community Services,16/09/2009,2614870,Safeguarding & Specialist Services,Foster Care Associates Ltd,"3,148.05"
Adult & Community Services,16/09/2009,2614871,Safeguarding & Specialist Services,Foster Care Associates Ltd,"3,374.35"
Adult & Community Services,16/09/2009,2614872,Safeguarding & Specialist Services,Foster Care Associates Ltd,"3,374.35"
Adult & Community Services,16/09/2009,2614873,Safeguarding & Specialist Services,Foster Care Associates Ltd,"3,148.05"
Adult & Community Services,16/09/2009,2614874,Safeguarding & Specialist Services,Foster Care Associates Ltd,"3,374.35"
Adult & Community Services,01/09/2009,2612201,Safeguarding & Specialist Services,Greenslade Services Limited,"1,732.90"
Adult & Community Services,03/09/2009,2612440,Safeguarding & Specialist Services,Hillcrest Guest House,910
Adult & Community Services,30/09/2009,2617087,Safeguarding & Specialist Services,Hillcrest Guest House,520
Adult & Community Services,30/09/2009,2617057,Safeguarding & Specialist Services,Look Ahead Housing And Care Ltd,871.47
Adult & Community Services,30/09/2009,2617060,Safeguarding & Specialist Services,Look Ahead Housing And Care Ltd,570.7
Adult & Community Services,08/09/2009,2611777,Safeguarding & Specialist Services,Norfolk House,"1,052.91"
Adult & Community Services,01/09/2009,2611990,Safeguarding & Specialist Services,Nursery Staff Ltd,"1,007.00"
Adult & Community Services,01/09/2009,2612183,Safeguarding & Specialist Services,Nursery Staff Ltd,843.69
Adult & Community Services,30/09/2009,2616446,Safeguarding & Specialist Services,Pertemps Recruitment Partnership,813.9
Adult & Community Services,01/09/2009,2612365,Safeguarding & Specialist Services,Quality Care Homes (UK) Ltd,"3,245.03"
Adult & Community Services,04/09/2009,2612408,Safeguarding & Specialist Services,Quality Care Homes (UK) Ltd,"3,245.03"
Adult & Community Services,04/09/2009,2612474,Safeguarding & Specialist Services,Quality Care Homes (UK) Ltd,"1,197.87"
Adult & Community Services,04/09/2009,2612476,Safeguarding & Specialist Services,Quality Care Homes (UK) Ltd,"2,349.16"
Adult & Community Services,10/09/2009,2613359,Safeguarding & Specialist Services,Quality Care Homes (UK) Ltd,"3,245.03"
Adult & Community Services,14/09/2009,2613950,Safeguarding & Specialist Services,Quality Care Homes (UK) Ltd,"3,245.03"
Adult & Community Services,18/09/2009,2614387,Safeguarding & Specialist Services,Quality Care Homes (UK) Ltd,"3,245.03"
Adult & Community Services,18/09/2009,2614394,Safeguarding & Specialist Services,Quality Care Homes (UK) Ltd,"3,245.03"
Adult & Community Services,18/09/2009,2614683,Safeguarding & Specialist Services,Quality Care Homes (UK) Ltd,"1,197.87"
Adult & Community Services,18/09/2009,2614686,Safeguarding & Specialist Services,Quality Care Homes (UK) Ltd,"2,805.16"
Adult & Community Services,18/09/2009,2615571,Safeguarding & Specialist Services,Quality Care Homes (UK) Ltd,"1,881.87"
Adult & Community Services,18/09/2009,2615572,Safeguarding & Specialist Services,Quality Care Homes (UK) Ltd,"2,805.16"
Adult & Community Services,29/09/2009,2617180,Safeguarding & Specialist Services,ROSTA,"1,520.00"
Adult & Community Services,18/09/2009,2614655,Safeguarding & Specialist Services,Slough Borough Council,"1,895.04"
Adult & Community Services,09/09/2009,2613151,Safeguarding & Specialist Services,Slough Borough Council,"9,521.34"
Adult & Community Services,30/09/2009,2617534,Safeguarding & Specialist Services,South Gloucestershire Council,"5,900.23"
Adult & Community Services,14/09/2009,2614362,Safeguarding & Specialist Services,Sunbeam Fostering Agency Limited,"3,399.37"
Adult & Community Services,14/09/2009,2614363,Safeguarding & Specialist Services,Sunbeam Fostering Agency Limited,"3,587.89"
Adult & Community Services,18/09/2009,2614657,Safeguarding & Specialist Services,The Chiltern Centre for Disabled Children,"3,888.00"
Adult & Community Services,18/09/2009,2614674,Safeguarding & Specialist Services,The Chiltern Centre for Disabled Children,"1,242.00"
Adult & Community Services,14/09/2009,2614135,Safeguarding & Specialist Services,The Who Cares? Trust,571.2
Adult & Community Services,14/09/2009,2614291,Safeguarding & Specialist Services,Trimega Laboratories Limited,"1,072.00"
Adult & Community Services,14/09/2009,2614292,Safeguarding & Specialist Services,Trimega Laboratories Limited,"1,089.00"
Adult & Community Services,29/09/2009,2616442,Safeguarding & Specialist Services,Trimega Laboratories Limited,"1,102.00"
Adult & Community Services,29/09/2009,2616443,Safeguarding & Specialist Services,Trimega Laboratories Limited,620
Adult & Community Services,01/10/2009,2617088,Safeguarding & Specialist Services,Tsitsi Mandimika,573.08
Adult & Community Services,18/09/2009,2615287,Safeguarding & Specialist Services,Village End,568.88
Adult & Community Services,18/09/2009,2615290,Safeguarding & Specialist Services,Village End,502
Adult & Community Services,08/09/2009,2612710,Safeguarding & Specialist Services,Vodafone Limited (Corporate),870.04
Adult & Community Services,04/09/2009,2612713,Safeguarding & Specialist Services,Vodafone Limited (Corporate),608.15
Adult & Community Services,02/09/2009,2612404,Safeguarding & Specialist Services,Wellquick Ltd T/A Call Us,"3,309.35"
Adult & Community Services,18/09/2009,2614549,Safeguarding & Specialist Services,Wellquick Ltd T/A Call Us,"5,724.17"
Adult & Community Services,18/09/2009,2615299,Safeguarding & Specialist Services,Wellquick Ltd T/A Call Us,"3,706.42"
Adult & Community Services,24/09/2009,2616424,Safeguarding & Specialist Services,Wellquick Ltd T/A Call Us,"2,035.77"
Adult & Community Services,14/09/2009,2613835,Safeguarding & Specialist Services,Windsor & District Housing Association,"1,026.52"
Adult & Community Services,01/09/2009,2612189,Supporting People Management,Turnstone Support Ltd,926.2
Adult & Community Services,14/09/2009,2613361,Thames Valley Athletic Centre,TVAC Management Trust,"56,250.00"
Adult & Community Services,01/09/2009,2611870,Windsor Leisure Centre,Biolab UK Ltd,524.1
Adult & Community Services,30/09/2009,2616097,Windsor Leisure Centre,Biolab UK Ltd,518.9
Adult & Community Services,01/10/2009,2617468,Windsor Leisure Centre,Biolab UK Ltd,"1,172.49"
Adult & Community Services,01/09/2009,2612065,Windsor Leisure Centre,Brake Bros Foodservice Ltd,900.77
Adult & Community Services,07/09/2009,2612700,Windsor Leisure Centre,Brake Bros Foodservice Ltd,764.98
Adult & Community Services,30/09/2009,2616230,Windsor Leisure Centre,Brake Bros Foodservice Ltd,770.9
Adult & Community Services,30/09/2009,2616233,Windsor Leisure Centre,Brake Bros Foodservice Ltd,588.89
Adult & Community Services,01/09/2009,2611882,Windsor Leisure Centre,Brambles Foods Ltd,572.97
Adult & Community Services,07/09/2009,2612667,Windsor Leisure Centre,Brambles Foods Ltd,572.53
Adult & Community Services,30/09/2009,2616207,Windsor Leisure Centre,Brambles Foods Ltd,572.97
Adult & Community Services,01/09/2009,2611840,Windsor Leisure Centre,Brandshill Lighting Services,710.06
Adult & Community Services,01/10/2009,2617466,Windsor Leisure Centre,Chubb Electronic Security Systems Ltd,797.29
Adult & Community Services,01/09/2009,2611872,Windsor Leisure Centre,Coca-Cola Enterprise Ltd,606.64
Adult & Community Services,01/09/2009,2611877,Windsor Leisure Centre,Coca-Cola Enterprise Ltd,805
Adult & Community Services,30/09/2009,2616174,Windsor Leisure Centre,Coca-Cola Enterprise Ltd,893.94
Adult & Community Services,01/10/2009,2617618,Windsor Leisure Centre,Coca-Cola Enterprise Ltd,687.4
Adult & Community Services,18/09/2009,2614926,Windsor Leisure Centre,Cogenco Limited,"1,761.98"
Adult & Community Services,07/09/2009,2612968,Windsor Leisure Centre,Dowding & Son Ltd,"1,580.00"
Adult & Community Services,01/09/2009,2611828,Windsor Leisure Centre,Fulfil,521.71
Adult & Community Services,01/09/2009,2611889,Windsor Leisure Centre,G T Refrigeration (Chertsey) Ltd,"1,500.00"
Adult & Community Services,07/09/2009,2612654,Windsor Leisure Centre,Graham,707.7
Adult & Community Services,30/09/2009,2616093,Windsor Leisure Centre,Grundon Waste Management Ltd,905.37
Adult & Community Services,30/09/2009,2616095,Windsor Leisure Centre,Grundon Waste Management Ltd,736.69
Adult & Community Services,01/09/2009,2611624,Windsor Leisure Centre,H2O Servicing Limited,"2,725.00"
Adult & Community Services,01/09/2009,2611861,Windsor Leisure Centre,Kelloggs ASA Award Scheme,610
Adult & Community Services,01/09/2009,2611654,Windsor Leisure Centre,Power Plate International Ltd,"5,837.24"
Adult & Community Services,24/09/2009,2616375,Windsor Leisure Centre,Slough Borough Council,"3,320.70"
Adult & Community Services,01/10/2009,2617469,Windsor Leisure Centre,T J Foster & Co Ltd,"1,603.00"
Adult & Community Services,07/09/2009,2612675,Windsor Leisure Centre,Thames Water Utilities Ltd,"7,199.13"
Adult & Community Services,30/09/2009,2615433,Windsor Leisure Centre,Total Gas & Power Limited,"9,787.24"
Adult & Community Services,01/09/2009,2611879,Windsor Leisure Centre,Zoggs International Ltd,"1,018.27"
Adult & Community Services,01/09/2009,2611880,Windsor Leisure Centre,Zoggs International Ltd,"2,520.84"
Adult & Community Services,30/09/2009,2616101,Windsor Leisure Centre,Zoggs International Ltd,"2,740.80"
Children's Services,18/09/2009,2615503,Children's Services Management Team,Banner Business Services Ltd,"1,490.01"
Children's Services,03/09/2009,2612659,Children's Services Management Team,Chandlers Removals,"1,720.00"
Children's Services,03/09/2009,2612662,Children's Services Management Team,Chandlers Removals,"1,440.00"
Children's Services,12/09/2009,2614185,Children's Services Management Team,Chandlers Removals,"1,780.00"
Children's Services,07/09/2009,2613005,Children's Services Management Team,Clarity Computer Supplies Ltd,"1,047.88"
Children's Services,01/09/2009,2612302,Children's Services Management Team,Eurotek Office Furniture Ltd,"1,792.00"
Children's Services,03/09/2009,2612685,Children's Services Management Team,Herald Productions Limited,526
Children's Services,03/09/2009,2612684,Children's Services Management Team,Hertfordshire County Council,"1,693.00"
Children's Services,24/09/2009,2614151,Commissioning Children's Services,Abba Cars,"1,440.00"
Children's Services,24/09/2009,2614151,Commissioning Children's Services,Abba Cars,718
Children's Services,24/09/2009,2614151,Commissioning Children's Services,Abba Cars,"1,230.48"
Children's Services,24/09/2009,2614151,Commissioning Children's Services,Abba Cars,"19,408.63"
Children's Services,24/09/2009,2614151,Commissioning Children's Services,Abba Cars,"3,113.49"
Children's Services,24/09/2009,2614151,Commissioning Children's Services,Abba Cars,720.3
Children's Services,17/09/2009,2615009,Commissioning Children's Services,Bracknell Forest Borough Council,820.15
Children's Services,17/09/2009,2615009,Commissioning Children's Services,Bracknell Forest Borough Council,"2,460.45"
Children's Services,17/09/2009,2615009,Commissioning Children's Services,Bracknell Forest Borough Council,820.15
Children's Services,03/09/2009,2612584,Commissioning Children's Services,Kennington Educational Services Ltd,762.4
Children's Services,24/09/2009,2615619,Commissioning Children's Services,Quality Care Homes (UK) Ltd,"1,216.00"
Children's Services,03/09/2009,2612098,Commissioning Children's Services,Reed Business Information Ltd,"1,045.00"
Children's Services,17/09/2009,2615008,Commissioning Children's Services,Wokingham Borough Council,"4,678.74"
Children's Services,17/09/2009,2615008,Commissioning Children's Services,Wokingham Borough Council,"2,977.38"
Children's Services,01/09/2009,2612268,DSG Children's Commissioning,Barnardo Services Limited,"26,695.00"
Children's Services,01/09/2009,2612269,DSG Children's Commissioning,Barnardo Services Limited,"26,695.00"
Children's Services,02/09/2009,2612463,DSG Children's Commissioning,Barnardo Services Limited,"30,456.00"
Children's Services,18/09/2009,2615090,DSG Children's Commissioning,Barnardo Services Limited,"26,695.00"
Children's Services,18/09/2009,2615091,DSG Children's Commissioning,Barnardo Services Limited,"13,479.00"
Children's Services,18/09/2009,2615092,DSG Children's Commissioning,Barnardo Services Limited,"26,695.00"
Children's Services,23/09/2009,2616204,DSG Children's Commissioning,Barnardo Services Limited,"26,695.00"
Children's Services,10/09/2009,2613901,DSG Children's Commissioning,Beazley & Watts Ltd,560
Children's Services,22/09/2009,2616045,DSG Children's Commissioning,Buckinghamshire County Council,"95,618.67"
Children's Services,22/09/2009,2616046,DSG Children's Commissioning,Buckinghamshire County Council,"24,095.80"
Children's Services,11/09/2009,2613891,DSG Children's Commissioning,Churchill Contract Services Ltd,"20,061.03"
Children's Services,11/09/2009,2613909,DSG Children's Commissioning,Grundon Waste Management Ltd,"6,731.18"
Children's Services,14/09/2009,2613911,DSG Children's Commissioning,Grundon Waste Management Ltd,"1,084.39"
Children's Services,28/09/2009,2617074,DSG Children's Commissioning,Hobart UK,"2,121.00"
Children's Services,28/09/2009,2617075,DSG Children's Commissioning,Hobart UK,"2,477.00"
Children's Services,28/09/2009,2617076,DSG Children's Commissioning,Hobart UK,"2,121.00"
Children's Services,29/09/2009,2617077,DSG Children's Commissioning,Hobart UK,"2,249.00"
Children's Services,25/09/2009,2616786,DSG Children's Commissioning,I CAN Charity,"9,942.00"
Children's Services,07/09/2009,2612751,DSG Children's Commissioning,ISS Waterers Landscape,"11,084.00"
Children's Services,22/09/2009,2615877,DSG Children's Commissioning,Kent County Council,"6,190.46"
Children's Services,01/09/2009,2612264,DSG Children's Commissioning,Muntham House School,"6,630.00"
Children's Services,14/09/2009,2614413,DSG Children's Commissioning,Priors Court School,"27,396.62"
Children's Services,14/09/2009,2614422,DSG Children's Commissioning,Priors Court School,"23,180.51"
Children's Services,15/09/2009,2614428,DSG Children's Commissioning,Priors Court School,"20,983.44"
Children's Services,15/09/2009,2614434,DSG Children's Commissioning,Priors Court School,"23,651.25"
Children's Services,23/09/2009,2616205,DSG Children's Commissioning,Priors Court School,"9,730.00"
Children's Services,23/09/2009,2616206,DSG Children's Commissioning,Priors Court School,"11,549.00"
Children's Services,29/09/2009,2617428,DSG Children's Commissioning,Robinsons Hygiene Services Ltd,892.5
Children's Services,30/09/2009,2617722,DSG Children's Commissioning,Scotford & Teasdale,"1,545.00"
Children's Services,22/09/2009,2615876,DSG Children's Commissioning,Somerset County Council,"2,372.00"
Children's Services,09/09/2009,2613607,DSG Children's Commissioning,St Johns Catholic School for the Deaf,"11,686.00"
Children's Services,01/09/2009,2612216,DSG Children's Commissioning,Surrey County Council,"59,944.00"
Children's Services,18/09/2009,2615323,DSG Children's Commissioning,The Children's Trust,"31,160.00"
Children's Services,03/09/2009,2612686,DSG Children's Commissioning,The Disabilities Trust,"18,941.33"
Children's Services,03/09/2009,2612687,DSG Children's Commissioning,The Disabilities Trust,"19,091.33"
Children's Services,03/09/2009,2612688,DSG Children's Commissioning,The Disabilities Trust,"18,941.33"
Children's Services,03/09/2009,2612689,DSG Children's Commissioning,The Disabilities Trust,"18,941.33"
Children's Services,03/09/2009,2612691,DSG Children's Commissioning,The Disabilities Trust,"18,941.33"
Children's Services,03/09/2009,2612693,DSG Children's Commissioning,The Disabilities Trust,"18,941.33"
Children's Services,03/09/2009,2612696,DSG Children's Commissioning,The Disabilities Trust,"15,953.33"
Children's Services,09/09/2009,2613609,DSG Children's Commissioning,The Disabilities Trust,"21,488.67"
Children's Services,02/09/2009,2612466,DSG Children's Commissioning,The Loddon School,"47,750.00"
Children's Services,01/09/2009,2612266,DSG Children's Commissioning,The Mulberry Bush School,"46,780.00"
Children's Services,18/09/2009,2615319,DSG Children's Commissioning,The Rayners Special Educational Trust,"15,241.00"
Children's Services,01/09/2009,2612265,DSG Children's Commissioning,UK Young Autism Project Ltd,556.44
Children's Services,24/09/2009,2616473,DSG Children's Commissioning,White Lodge Centre,"1,708.00"
Children's Services,11/09/2009,2614179,DSG Education & Childcare Services,Bracknell Forest Borough Council,"1,484.28"
Children's Services,24/09/2009,2616462,DSG Education & Childcare Services,British Telecommunications Plc,"14,594.03"
Children's Services,06/09/2009,2612918,DSG Education & Childcare Services,Cybersupport (UK) Limited,805
Children's Services,14/09/2009,2614267,DSG Education & Childcare Services,Cybersupport (UK) Limited,"2,189.94"
Children's Services,24/09/2009,2616356,DSG Education & Childcare Services,Cybersupport (UK) Limited,"1,380.00"
Children's Services,30/09/2009,2617799,DSG Education & Childcare Services,Oticon Limited,"4,318.92"
Children's Services,17/09/2009,2614982,DSG Education & Childcare Services,Phonak UK Ltd,860
Children's Services,24/09/2009,2616397,DSG Education & Childcare Services,Phonak UK Ltd,680
Children's Services,10/09/2009,2613845,DSG Education & Childcare Services,Southern Electric,687.79
Children's Services,10/09/2009,2613846,DSG Education & Childcare Services,Southern Electric,847.1
Children's Services,02/09/2009,2612422,DSG Education & Childcare Services,Stone Computers,960
Children's Services,02/09/2009,2612425,DSG Education & Childcare Services,Stone Computers,792
Children's Services,03/09/2009,2612637,DSG Education & Childcare Services,The European Bookshop,"1,783.14"
Children's Services,11/09/2009,2614186,DSG Education & Childcare Services,Vodafone Limited (Corporate),"1,027.05"
Children's Services,14/09/2009,2614270,DSG Education & Childcare Services,Vodafone Limited (Corporate),508.5
Children's Services,22/09/2009,2615809,Education & Childcare Services,Berkshire Maestros,"1,100.20"
Children's Services,22/09/2009,2615808,Education & Childcare Services,Broadwater School,500
Children's Services,30/09/2009,2617629,Education & Childcare Services,Dawkes Music Ltd,"3,840.00"
Children's Services,18/09/2009,2615524,Education & Childcare Services,Dawsons Music Limited,"8,088.00"
Children's Services,28/09/2009,2617065,Education & Childcare Services,Dell  Corporation Ltd,"2,934.79"
Children's Services,22/09/2009,2614466,Education & Childcare Services,Farbetter Consulting Ltd,516
Children's Services,21/09/2009,2615679,Education & Childcare Services,Heritage Music,"5,540.09"
Children's Services,09/09/2009,2613373,Education & Childcare Services,Impact Universal Ltd,"7,700.00"
Children's Services,22/09/2009,2614707,Education & Childcare Services,Mayfield School,"2,500.00"
Children's Services,07/09/2009,2611060,Education & Childcare Services,Noel Quinn Ltd,"1,360.00"
Children's Services,02/09/2009,2612423,Education & Childcare Services,Norden Farm Centre Trust Limited,820
Children's Services,07/09/2009,2610905,Education & Childcare Services,Positive Steps Day Nursery,830
Children's Services,22/09/2009,2615907,Education & Childcare Services,The Arnewood School,"1,120.00"
Children's Services,17/09/2009,2615197,Education & Childcare Services,Vodafone Limited (Corporate),579.51
Children's Services,18/09/2009,2615199,Education & Childcare Services,Vodafone Limited (Corporate),524.65
Children's Services,11/09/2009,2613959,Families & Young People,Apple Travel Ltd,555
Children's Services,08/09/2009,2613316,Families & Young People,Berkshire Association of Clubs for Young People,"1,925.65"
Children's Services,24/09/2009,2616471,Families & Young People,Berkshire Association of Clubs for Young People,"5,000.00"
Children's Services,18/09/2009,2615302,Families & Young People,Berkshire East PCT Community Health Services,"6,165.00"
Children's Services,17/09/2009,2615083,Families & Young People,Berkshire East Primary Care Trust,"89,726.55"
Children's Services,03/09/2009,2610385,Families & Young People,Bridge Trust Thames Valley,"1,050.00"
Children's Services,28/09/2009,2616657,Families & Young People,Bridge Trust Thames Valley,"1,659.00"
Children's Services,21/09/2009,2614492,Families & Young People,Connexions Berkshire,"80,499.00"
Children's Services,02/09/2009,2612204,Families & Young People,Datchet Water Sailing Club,640
Children's Services,10/09/2009,2611604,Families & Young People,Eureka Design Ltd,615
Children's Services,30/09/2009,2617555,Families & Young People,Generic Software Consultants Ltd,"3,712.50"
Children's Services,30/09/2009,2617557,Families & Young People,Generic Software Consultants Ltd,909.75
Children's Services,30/09/2009,2617592,Families & Young People,J and S Progress Consultants Ltd,575
Children's Services,14/09/2009,2614104,Families & Young People,MAD Academy,560
Children's Services,14/09/2009,2614108,Families & Young People,Office Furniture Online,672
Children's Services,30/09/2009,2617559,Families & Young People,Performing Right Society Ltd,"1,359.74"
Children's Services,26/09/2009,2616835,Families & Young People,Samis,623
Children's Services,02/09/2009,2610506,Families & Young People,Solo Service Group,805.01
Children's Services,02/09/2009,2610506,Families & Young People,Solo Service Group,"2,108.35"
Children's Services,16/09/2009,2614763,Families & Young People,Solo Service Group,805.01
Children's Services,16/09/2009,2614763,Families & Young People,Solo Service Group,"2,108.35"
Children's Services,16/09/2009,2614713,Families & Young People,SQ2 Limited,"14,925.00"
Children's Services,16/09/2009,2614716,Families & Young People,SQ2 Limited,"1,000.00"
Children's Services,24/09/2009,2616598,Families & Young People,SQ2 Limited,588
Children's Services,22/09/2009,2615014,Families & Young People,Toynbee Housing Association,"4,830.00"
Children's Services,29/09/2009,2617455,Families & Young People,TTS Group (English in Evidence),776.59
Children's Services,30/09/2009,2617520,Families & Young People,Wraysbury Parish Church Council,"4,000.00"
Children's Services,16/09/2009,2614400,ISB,A & R Glass,"1,140.00"
Children's Services,10/09/2009,2613530,ISB,A C Breeze,"1,634.50"
Children's Services,16/09/2009,2614414,ISB,A1-Courts,775
Children's Services,22/09/2009,2616025,ISB,Adams & Wade (Maidenhead) Limited,"4,346.00"
Children's Services,17/09/2009,2614965,ISB,Akhter Computers,"17,759.40"
Children's Services,10/09/2009,2612853,ISB,All Saints Pre-School,"4,752.56"
Children's Services,09/09/2009,2613404,ISB,Ambleglow Ltd,"1,070.88"
Children's Services,09/09/2009,2613406,ISB,Ambleglow Ltd,931.2
Children's Services,10/09/2009,2612854,ISB,Angels Pre-School,"16,686.78"
Children's Services,16/09/2009,2614427,ISB,Arena Seating Ltd,"1,004.25"
Children's Services,14/09/2009,2614374,ISB,Armitage Venesta,"4,003.76"
Children's Services,16/09/2009,2614423,ISB,Ascot Cars,979.2
Children's Services,10/09/2009,2612855,ISB,Ascot Nursery School,"13,729.63"
Children's Services,09/09/2009,2613603,ISB,Asdan Educational Ltd,624.4
Children's Services,16/09/2009,2614448,ISB,Ashley Blind Contracts,"3,280.00"
Children's Services,17/09/2009,2614449,ISB,Ashley Blind Contracts,980
Children's Services,16/09/2009,2613088,ISB,Aspects,"5,530.00"
Children's Services,10/09/2009,2612850,ISB,Asquith Nurseries Ltd,"4,541.34"
Children's Services,24/09/2009,2616390,ISB,Barclays HMG Procurement Card,"1,397.48"
Children's Services,10/09/2009,2612856,ISB,Beehive Pre-School,"22,712.72"
Children's Services,23/09/2009,2616283,ISB,Berkshire Building Services Ltd,"3,565.50"
Children's Services,23/09/2009,2616284,ISB,Berkshire Building Services Ltd,"1,646.00"
Children's Services,10/09/2009,2613485,ISB,Berkshire Home Improvements Ltd,826.08
Children's Services,10/09/2009,2612857,ISB,Birdwood Nursery School,"14,474.95"
Children's Services,09/09/2009,2613554,ISB,BNP Paribas Lease Group (Rentals),"1,088.38"
Children's Services,25/09/2009,2616815,ISB,BNP Paribas Lease Group (Rentals),650
Children's Services,16/09/2009,2614326,ISB,Bookends,681.7
Children's Services,15/09/2009,2614602,ISB,Bookpoint Limited,602.51
Children's Services,10/09/2009,2612858,ISB,Bray Pre-School,"11,406.15"
Children's Services,10/09/2009,2612859,ISB,Braywood Montessori School,"10,561.25"
Children's Services,10/09/2009,2612860,ISB,Briar Cottage Day Nursery,"1,294.51"
Children's Services,10/09/2009,2612861,ISB,Bright Start Pre-School,"41,695.82"
Children's Services,28/09/2009,2616879,ISB,British Gas Business,928.23
Children's Services,30/09/2009,2617216,ISB,Bruce And Lumb Ltd,"1,675.80"
Children's Services,16/09/2009,2614346,ISB,Brynteg Books,"1,554.25"
Children's Services,16/09/2009,2614677,ISB,BT Business Direct,541.99
Children's Services,10/09/2009,2612862,ISB,Buffer Bear at Larchfield,"7,076.04"
Children's Services,10/09/2009,2612863,ISB,Busy Bees at Hall Place Nursery,"16,053.10"
Children's Services,10/09/2009,2612864,ISB,CA Montessori Childrens Centre,"14,152.08"
Children's Services,11/09/2009,2614217,ISB,Carp-A-Tex (Reading) Ltd,"4,693.00"
Children's Services,21/09/2009,2615555,ISB,Carp-A-Tex (Reading) Ltd,"1,755.00"
Children's Services,18/09/2009,2615365,ISB,Carpet & Fabric Care,"2,100.00"
Children's Services,10/09/2009,2613549,ISB,Cater Link Ltd,955
Children's Services,16/09/2009,2614462,ISB,Cater Link Ltd,"2,762.96"
Children's Services,30/09/2009,2617566,ISB,Caversham Vehicle Hire Ltd,686.96
Children's Services,17/09/2009,2615018,ISB,Chapter One Bookshop,546.09
Children's Services,17/09/2009,2615022,ISB,Chapter One Bookshop,655.09
Children's Services,10/09/2009,2612865,ISB,Cheapside Pre-School,"9,821.96"
Children's Services,01/10/2009,2617907,ISB,Chemically-Solved Ltd,530.76
Children's Services,10/09/2009,2612814,ISB,Childbase Ltd,"14,257.69"
Children's Services,10/09/2009,2612866,ISB,Children of The World Montessori School,"19,010.25"
Children's Services,15/09/2009,2614613,ISB,Chiltern Book Supply,609.54
Children's Services,10/09/2009,2612868,ISB,Claires Court Schools Ltd,"31,970.41"
Children's Services,10/09/2009,2612867,ISB,Claires Court Schoos Ltd,"8,826.19"
Children's Services,21/09/2009,2615033,ISB,Claude Fenton (Construction) Ltd,"2,583.00"
Children's Services,29/09/2009,2617378,ISB,Clearwater 2010 Ltd,641.25
Children's Services,10/09/2009,2613512,ISB,Coachs Corner,"1,454.54"
Children's Services,18/09/2009,2615422,ISB,Connect 2 data Ltd,"1,380.00"
Children's Services,29/09/2009,2617121,ISB,Contract Trading Services Ltd,"4,620.00"
Children's Services,10/09/2009,2612869,ISB,Cookham Dean Nursery,"2,006.64"
Children's Services,30/09/2009,2617614,ISB,Cookham Montessori School,"10,878.00"
Children's Services,16/09/2009,2614596,ISB,Countryside Education Trust,500
Children's Services,10/09/2009,2612803,ISB,Countryside Nurseries,"2,851.54"
Children's Services,10/09/2009,2612842,ISB,Countryside Nurseries,"7,709.71"
Children's Services,10/09/2009,2612870,ISB,Cox Green Community Pre-School,"16,348.82"
Children's Services,18/09/2009,2615363,ISB,CPC Plc,"1,561.20"
Children's Services,08/09/2009,2613200,ISB,Creative Landscape Company Limited,"1,458.33"
Children's Services,21/09/2009,2615717,ISB,Creative Landscape Company Limited,898.67
Children's Services,10/09/2009,2613808,ISB,CTS Contracts Ltd,"2,878.00"
Children's Services,24/09/2009,2616628,ISB,Current Installations Ltd,"7,364.00"
Children's Services,18/09/2009,2615416,ISB,Dactyl Publishing,"3,345.40"
Children's Services,09/09/2009,2613440,ISB,Datasharp Independent Solutions Ltd,"2,791.69"
Children's Services,16/09/2009,2614566,ISB,Datasharp Telephony Solutions&RedcardTelecom,"1,835.38"
Children's Services,18/09/2009,2615385,ISB,Dell  Corporation Ltd,"1,256.00"
Children's Services,16/09/2009,2614552,ISB,Digital Home Engineering,"1,800.00"
Children's Services,29/09/2009,2617130,ISB,Display Products Ltd,716.6
Children's Services,21/09/2009,2615622,ISB,Dominique Lock,"6,970.00"
Children's Services,10/09/2009,2612798,ISB,Edith Rose Day Nursery,"6,547.98"
Children's Services,10/09/2009,2612799,ISB,Edith Rose Day Nursery,"4,858.18"
Children's Services,28/09/2009,2616601,ISB,Engrave Bricks Limited,"1,483.35"
Children's Services,10/09/2009,2612800,ISB,Eton End PNEU School,"25,497.88"
Children's Services,23/09/2009,2615794,ISB,Exceedia Ltd,"2,850.00"
Children's Services,10/09/2009,2612802,ISB,First Steps Pre School,"10,519.01"
Children's Services,10/09/2009,2612801,ISB,First Steps Preschool,"2,407.97"
Children's Services,29/09/2009,2617131,ISB,Fotosense Ltd,531.79
Children's Services,10/09/2009,2612805,ISB,Foxley Nursery School,"19,115.86"
Children's Services,07/09/2009,2613012,ISB,Furniture at Work Limited,"2,845.44"
Children's Services,08/09/2009,2613148,ISB,Gambit Enterprises Ltd,735
Children's Services,22/09/2009,2615974,ISB,Gardner Mechanical Services Ltd,757.76
Children's Services,01/10/2009,2617911,ISB,GCD Security (Locksmiths) Ltd,"2,357.53"
Children's Services,09/09/2009,2613586,ISB,GLS Educational Supplies Ltd,796.47
Children's Services,10/09/2009,2613881,ISB,GLS Educational Supplies Ltd,"1,031.85"
Children's Services,24/09/2009,2615989,ISB,GLS Educational Supplies Ltd,614.84
Children's Services,24/09/2009,2616384,ISB,GLS Educational Supplies Ltd,664.63
Children's Services,25/09/2009,2616800,ISB,GLS Educational Supplies Ltd,"1,700.72"
