Directorate,Updated,Service,Supplier Name,Amount,Type
Childrens Services,22/03/2010,Non Schools,LSM Decorators Limited,"2,900.00",Capital
Adult & Community Services,02/02/2010,Learning Disability,Lufton Manor College,"15,495.48",Revenue
Children's Services,18/02/2010,DSG Education & Childcare Services,LVS Hassocks,"6,666.67",Revenue
Children's Services,18/02/2010,DSG Education & Childcare Services,LVS Hassocks,"6,908.34",Revenue
Adult & Community Services,26/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,524.29",Revenue
Adult & Community Services,26/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,846.98",Revenue
Adult & Community Services,26/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,917.57",Revenue
Adult & Community Services,26/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,524.29",Revenue
Adult & Community Services,26/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,035.71",Revenue
Adult & Community Services,26/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,917.57",Revenue
Adult & Community Services,26/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,459.32",Revenue
Adult & Community Services,26/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,663.95",Revenue
Adult & Community Services,26/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"3,094.55",Revenue
Adult & Community Services,26/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,459.32",Revenue
Adult & Community Services,28/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,664.97",Revenue
Adult & Community Services,28/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,600.86",Revenue
Adult & Community Services,28/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,457.59",Revenue
Adult & Community Services,28/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,949.68",Revenue
Adult & Community Services,28/01/2010,Elderly & Physical Disability,Lynwood Residential Home,732.86,Revenue
Adult & Community Services,28/01/2010,Elderly & Physical Disability,Lynwood Residential Home,884.71,Revenue
Adult & Community Services,28/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,663.90",Revenue
Adult & Community Services,28/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,614.14",Revenue
Adult & Community Services,28/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,917.57",Revenue
Adult & Community Services,28/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,663.90",Revenue
Adult & Community Services,28/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,917.57",Revenue
Adult & Community Services,28/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,524.29",Revenue
Adult & Community Services,28/01/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,493.29",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,668.24",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,732.00",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,280.00",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,280.00",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,732.00",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,221.32",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,971.43,Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,502.92",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,221.32",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,795.08",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,761.00",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,219.76",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,349.16",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,503.84",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,252.00",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,732.00",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,138.78",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,502.88",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"2,361.16",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Lynwood Residential Home,"1,732.00",Revenue
Children's Services,22/01/2010,ISB,M & M Productions,650,Revenue
Environmental Services,10/03/2010,Local Transport Plan,M Bissell Display Ltd,"1,113.00",Capital
Environmental Services,10/03/2010,Local Transport Plan,M Bissell Display Ltd,"2,201.00",Capital
Adult & Community Services,27/03/2010,Library & Information Services,M Bissell Display Ltd,"1,499.50",Capital
Resources,04/01/2010,Directorate Support,M P Printers (Thame) Ltd,695,Revenue
Resources,24/03/2010,Directorate Support,M P Printers (Thame) Ltd,500,Revenue
Children's Services,08/03/2010,ISB,M2 Digital Ltd,"2,167.77",Revenue
Children's Services,04/02/2010,ISB,M3C Sports Supplies Ltd,"2,231.00",Revenue
Adult & Community Services,20/03/2010,Windsor Leisure Centre,Machine Mart Ltd,"1,247.73",Revenue
Children's Services,05/03/2010,ISB,Magic Carpets,880,Revenue
Adult & Community Services,15/02/2010,Elderly & Physical Disability,Magicomm,"3,000.00",Revenue
Environmental Services,14/01/2010,Public Protection,Maidenhead & District Housing Association,"6,855.00",Capital
Environmental Services,14/01/2010,Public Protection,Maidenhead & District Housing Association,"1,530.00",Capital
Environmental Services,14/01/2010,Public Protection,Maidenhead & District Housing Association,"1,540.00",Capital
Environmental Services,14/01/2010,Public Protection,Maidenhead & District Housing Association,"8,630.00",Capital
Environmental Services,18/01/2010,Public Protection,Maidenhead & District Housing Association,"27,369.00",Capital
Environmental Services,29/01/2010,Public Protection,Maidenhead & District Housing Association,"5,827.50",Capital
Environmental Services,29/01/2010,Public Protection,Maidenhead & District Housing Association,"1,600.00",Capital
Environmental Services,29/01/2010,Public Protection,Maidenhead & District Housing Association,"1,380.00",Capital
Environmental Services,03/02/2010,Public Protection,Maidenhead & District Housing Association,"5,644.00",Capital
Environmental Services,03/03/2010,Public Protection,Maidenhead & District Housing Association,"1,814.00",Capital
Environmental Services,10/03/2010,Public Protection,Maidenhead & District Housing Association,"2,326.00",Capital
Environmental Services,10/03/2010,Public Protection,Maidenhead & District Housing Association,"1,380.00",Capital
Environmental Services,23/03/2010,Public Protection,Maidenhead & District Housing Association,"4,156.02",Capital
Environmental Services,23/03/2010,Public Protection,Maidenhead & District Housing Association,"7,821.89",Capital
Environmental Services,23/03/2010,Public Protection,Maidenhead & District Housing Association,"6,300.00",Capital
Adult & Community Services,08/03/2010,Housing,Maidenhead & District Housing Association,"665,000.00",Capital
Adult & Community Services,07/01/2010,Housing,Maidenhead & District Housing Association,625,Capital
Environmental Services,10/02/2010,Industrial & Commercial Estates,Maidenhead & District Housing Association,"1,750.00",Revenue
Children's Services,09/02/2010,Safeguarding & Specialist Services,Maidenhead & District Housing Association,"2,922.50",Revenue
Adult & Community Services,04/01/2010,Mental Health,Maidenhead & District Housing Association,874.5,Revenue
Adult & Community Services,01/02/2010,Mental Health,Maidenhead & District Housing Association,874.5,Revenue
Adult & Community Services,01/03/2010,Mental Health,Maidenhead & District Housing Association,874,Revenue
Adult & Community Services,19/03/2010,Mental Health,Maidenhead & District Housing Association,874.5,Revenue
Adult & Community Services,24/02/2010,Supporting People Management,Maidenhead & District Housing Association,"20,000.00",Revenue
Adult & Community Services,26/02/2010,Learning Disability,Maidenhead Berkshire Cars,628.16,Revenue
Adult & Community Services,15/03/2010,Learning Disability,Maidenhead Berkshire Cars,785.2,Revenue
"Policy,Performance & Planning",05/01/2010,General Grants,Maidenhead Citizens Advice Bureau,"22,778.50",Revenue
Adult & Community Services,31/03/2010,Magnet Leisure Centre,Maidenhead Rugby Football Club,633.95,Revenue
Adult & Community Services,31/03/2010,Magnet Leisure Centre,Maidenhead Rugby Football Club,696.29,Revenue
Adult & Community Services,31/03/2010,Magnet Leisure Centre,Maidenhead Rugby Football Club,"3,098.37",Revenue
Adult & Community Services,31/03/2010,Magnet Leisure Centre,Maidenhead Rugby Football Club,866.2,Revenue
"Policy,Performance & Planning",15/03/2010,Partnerships,Maidenhead Sports and Social Club,"1,490.00",Revenue
Childrens Services,03/02/2010,Schools-Non Devolved,Manitowoc Foodservice UK,"1,875.00",Capital
Childrens Services,27/03/2010,Schools-Non Devolved,Manitowoc Foodservice UK,"1,295.00",Capital
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"1,278.28",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,640.89",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,633.67",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,635.18",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,590.89",Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"1,919.12",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,590.89",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,647.71",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,634.87",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,19/01/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"1,193.06",Revenue
Adult & Community Services,01/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,612.24",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,386.12",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,385.32",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,386.12",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,378.80",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,386.12",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,386.12",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,386.12",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,340.16",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,386.12",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,380.16",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,130.46",Revenue
Adult & Community Services,10/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,386.12",Revenue
Adult & Community Services,10/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,386.12",Revenue
Adult & Community Services,10/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,386.12",Revenue
Adult & Community Services,10/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,386.12",Revenue
Adult & Community Services,10/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,386.12",Revenue
Adult & Community Services,10/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,379.88",Revenue
Adult & Community Services,10/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,391.48",Revenue
Adult & Community Services,10/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,340.16",Revenue
Adult & Community Services,10/02/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"1,733.40",Revenue
Adult & Community Services,01/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,359.44",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,633.67",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,590.89",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,635.18",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"1,919.12",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,590.89",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,647.71",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,634.87",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,16/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,641.78",Revenue
Adult & Community Services,23/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"2,612.24",Revenue
Adult & Community Services,25/03/2010,Elderly & Physical Disability,Manor House Care Home (Old Windsor),"4,005.27",Revenue
Children's Services,24/02/2010,DSG Education & Childcare Services,Mantra Lingua Ltd,851.5,Revenue
Resources,07/01/2010,Other,Mark Group Limited,"13,656.25",Capital
Resources,18/03/2010,Other,Mark Group Limited,"6,266.08",Capital
Environmental Services,07/01/2010,Asset Management,Mark Group Limited,"4,785.00",Capital
Environmental Services,07/01/2010,Asset Management,Mark Group Limited,"4,750.75",Capital
Environmental Services,22/03/2010,Asset Management,Mark Group Limited,"1,644.68",Capital
Environmental Services,10/03/2010,Local Transport Plan,Marshalls Street Furniture,"1,939.00",Capital
Children's Services,13/01/2010,Education & Childcare Services,Martin Marsh Education Services,"2,400.00",Revenue
Children's Services,24/03/2010,Education & Childcare Services,Martin Marsh Education Services,"1,200.00",Revenue
Environmental Services,04/01/2010,Highways & Engineering Unit,Matchtech Group plc,"1,750.00",Revenue
Environmental Services,26/01/2010,Highways & Engineering Unit,Matchtech Group plc,"1,575.00",Revenue
Environmental Services,26/01/2010,Highways & Engineering Unit,Matchtech Group plc,"1,225.00",Revenue
Environmental Services,26/01/2010,Highways & Engineering Unit,Matchtech Group plc,945,Revenue
Environmental Services,03/02/2010,Highways & Engineering Unit,Matchtech Group plc,"1,750.00",Revenue
Environmental Services,11/02/2010,Highways & Engineering Unit,Matchtech Group plc,"1,575.00",Revenue
Environmental Services,16/02/2010,Highways & Engineering Unit,Matchtech Group plc,"1,645.00",Revenue
Environmental Services,19/02/2010,Highways & Engineering Unit,Matchtech Group plc,"1,400.00",Revenue
Environmental Services,03/03/2010,Highways & Engineering Unit,Matchtech Group plc,"1,750.00",Revenue
Environmental Services,09/03/2010,Highways & Engineering Unit,Matchtech Group plc,"1,750.00",Revenue
Environmental Services,13/03/2010,Highways & Engineering Unit,Matchtech Group plc,"1,400.00",Revenue
Environmental Services,24/03/2010,Highways & Engineering Unit,Matchtech Group plc,"1,750.00",Revenue
Environmental Services,25/03/2010,Highways & Engineering Unit,Matchtech Group plc,"1,575.00",Revenue
Environmental Services,30/03/2010,Highways & Engineering Unit,Matchtech Group plc,"1,750.00",Revenue
Resources,23/03/2010,Corporate HR,Matrix Service Development & Training Limited,"1,812.00",Revenue
Resources,23/03/2010,Corporate HR,Matrix Service Development & Training Limited,952.5,Revenue
Adult & Community Services,31/03/2010,Mental Health,Matrix Service Development & Training Limited,619,Revenue
"Policy,Performance & Planning",30/03/2010,Planning & Development Team,Maylim Ltd,"4,750.00",Capital
"Policy,Performance & Planning",30/03/2010,Planning & Development Team,Maylim Ltd,"13,603.47",Capital
Childrens Services,19/01/2010,Schools-Non Devolved,McBains Cooper,"4,166.00",Capital
Childrens Services,13/02/2010,Schools-Non Devolved,McBains Cooper,"4,166.00",Capital
Resources,17/03/2010,Corporate HR,Meadowbank Residential Home for the Elderly,750,Revenue
Adult & Community Services,08/01/2010,Elderly & Physical Disability,Meadowbank Residential Home for the Elderly,"1,919.92",Revenue
Adult & Community Services,03/02/2010,Elderly & Physical Disability,Meadowbank Residential Home for the Elderly,"1,734.12",Revenue
Adult & Community Services,09/03/2010,Elderly & Physical Disability,Meadowbank Residential Home for the Elderly,"1,919.92",Revenue
Adult & Community Services,12/03/2010,Elderly & Physical Disability,Meadowbank Residential Home for the Elderly,"2,103.14",Revenue
Environmental Services,27/01/2010,Highway Maintenance,Meakin Building Supplies Ltd,"1,846.30",Revenue
Children's Services,27/03/2010,Families & Young People,Medi-tech Limited,575,Revenue
Children's Services,11/03/2010,DSG Funded School Costs,Meiko UK Ltd,852.87,Revenue
Children's Services,11/01/2010,Families & Young People,Melissa Campbell Training & Consultancy Ltd,"2,139.55",Revenue
Resources,26/02/2010,Accountancy Division,Meridian Cost Benefit Ltd,"2,861.13",Revenue
Resources,05/01/2010,Housing & Council Tax Benefits,Meritec Limited,"6,808.00",Revenue
Resources,26/01/2010,Housing & Council Tax Benefits,Meritec Limited,"5,076.56",Revenue
Resources,23/02/2010,Housing & Council Tax Benefits,Meritec Limited,"6,345.01",Revenue
Resources,08/03/2010,Housing & Council Tax Benefits,Meritec Limited,"2,495.00",Revenue
Resources,29/03/2010,Housing & Council Tax Benefits,Meritec Limited,"6,215.52",Revenue
Environmental Services,16/03/2010,Coach & Car Parks,Metric Group Ltd,"3,364.00",Revenue
Environmental Services,22/03/2010,Coach & Car Parks,Metric Group Ltd,"9,106.02",Revenue
Adult & Community Services,27/01/2010,Community Services Unit,Metric Group Ltd,"2,908.00",Revenue
Adult & Community Services,27/01/2010,Windsor Leisure Centre,Metric Group Ltd,"2,900.00",Revenue
Adult & Community Services,27/01/2010,Magnet Leisure Centre,Metric Group Ltd,"2,900.00",Revenue
Adult & Community Services,27/01/2010,Community Leisure Services,Metric Group Ltd,"2,900.00",Revenue
Childrens Services,17/03/2010,Schools-Devolved Capital,Metric Office Furniture Ltd,"6,990.00",Capital
Children's Services,05/02/2010,ISB,Metric Office Furniture Ltd,958,Revenue
Children's Services,29/03/2010,ISB,Metric Office Furniture Ltd,"3,755.20",Revenue
Resources,15/01/2010,Pensions Fund,Metrix Commercial Interiors Ltd,"102,973.42",Revenue
Resources,20/02/2010,Pensions Fund,Metrix Commercial Interiors Ltd,"12,487.06",Revenue
Environmental Services,16/02/2010,Local Transport Plan,Metro Signs 2000 (Bedford) Ltd,565.5,Capital
Environmental Services,10/03/2010,Building Services Unit,Micad Systems (UK) Ltd,835.65,Revenue
Children's Services,23/03/2010,Education & Childcare Services,Michael Burbridge Limited,"1,000.00",Revenue
Children's Services,23/03/2010,Families & Young People,Michael Burbridge Limited,600,Revenue
Children's Services,30/03/2010,Families & Young People,Michael Burbridge Limited,590,Revenue
Children's Services,30/03/2010,Families & Young People,Michael Burbridge Limited,"3,388.00",Revenue
Children's Services,11/03/2010,ISB,Michael Burbridge Limited,838,Revenue
Children's Services,06/02/2010,ISB,Michael Wright Supplies Ltd,"3,240.00",Revenue
Children's Services,23/03/2010,ISB,Michael Wright Supplies Ltd,517.87,Revenue
Children's Services,29/01/2010,ISB,Micro Librarian Systems,"1,345.00",Revenue
Adult & Community Services,05/01/2010,Learning Disability,Milbury Care Services Ltd,"18,387.80",Revenue
Adult & Community Services,05/01/2010,Learning Disability,Milbury Care Services Ltd,"13,141.36",Revenue
Adult & Community Services,05/01/2010,Learning Disability,Milbury Care Services Ltd,"5,500.60",Revenue
Adult & Community Services,05/01/2010,Learning Disability,Milbury Care Services Ltd,"4,884.14",Revenue
Adult & Community Services,05/01/2010,Learning Disability,Milbury Care Services Ltd,"3,373.02",Revenue
Adult & Community Services,05/01/2010,Learning Disability,Milbury Care Services Ltd,"5,214.57",Revenue
Adult & Community Services,02/02/2010,Learning Disability,Milbury Care Services Ltd,"13,141.36",Revenue
Adult & Community Services,01/02/2010,Learning Disability,Milbury Care Services Ltd,"4,884.14",Revenue
Adult & Community Services,01/02/2010,Learning Disability,Milbury Care Services Ltd,"3,373.02",Revenue
Adult & Community Services,02/02/2010,Learning Disability,Milbury Care Services Ltd,"5,500.60",Revenue
Adult & Community Services,02/02/2010,Learning Disability,Milbury Care Services Ltd,"18,387.80",Revenue
Adult & Community Services,15/02/2010,Learning Disability,Milbury Care Services Ltd,"1,134.00",Revenue
Adult & Community Services,12/03/2010,Learning Disability,Milbury Care Services Ltd,"13,141.36",Revenue
Adult & Community Services,12/03/2010,Learning Disability,Milbury Care Services Ltd,"5,500.60",Revenue
Adult & Community Services,02/03/2010,Learning Disability,Milbury Care Services Ltd,"4,884.14",Revenue
Adult & Community Services,02/03/2010,Learning Disability,Milbury Care Services Ltd,"3,373.02",Revenue
Adult & Community Services,12/03/2010,Learning Disability,Milbury Care Services Ltd,"18,387.80",Revenue
Adult & Community Services,12/03/2010,Learning Disability,Milbury Care Services Ltd,"5,214.57",Revenue
Adult & Community Services,12/03/2010,Learning Disability,Milbury Care Services Ltd,"5,214.57",Revenue
Children's Services,29/03/2010,Families & Young People,Mindstretchers Ltd,919,Revenue
Children's Services,13/03/2010,DSG Education & Childcare Services,Misco,"1,419.04",Revenue
Children's Services,21/03/2010,DSG Education & Childcare Services,Misco,543.62,Revenue
Children's Services,17/03/2010,Families & Young People,Misco,753.22,Revenue
Children's Services,19/01/2010,ISB,Misco,536.95,Revenue
Children's Services,25/01/2010,ISB,Misco,509.98,Revenue
Children's Services,27/01/2010,ISB,Misco,575,Revenue
Children's Services,28/01/2010,ISB,Misco,883.95,Revenue
Children's Services,28/01/2010,ISB,Misco,595,Revenue
Children's Services,02/02/2010,ISB,Misco,828,Revenue
Children's Services,11/02/2010,ISB,Misco,"1,231.74",Revenue
Children's Services,11/02/2010,ISB,Misco,"3,197.10",Revenue
Children's Services,10/03/2010,ISB,Misco,550.6,Revenue
Children's Services,16/03/2010,ISB,Misco,609.96,Revenue
Children's Services,10/02/2010,ISB,ML Systems,"1,950.00",Revenue
Environmental Services,04/01/2010,Trading Standards,Mogo UK,"1,088.60",Revenue
Environmental Services,03/02/2010,Trading Standards,Mogo UK,"2,177.30",Revenue
Environmental Services,17/03/2010,Trading Standards,Mogo UK,"1,981.50",Revenue
Children's Services,23/03/2010,Families & Young People,Moonscape Media Limited,620,Revenue
Adult & Community Services,14/01/2010,Elderly & Physical Disability,Moor Cottage Residential Home,"5,914.29",Revenue
Adult & Community Services,15/02/2010,Elderly & Physical Disability,Moor Cottage Residential Home,"1,800.00",Revenue
Adult & Community Services,15/02/2010,Elderly & Physical Disability,Moor Cottage Residential Home,"3,550.29",Revenue
Adult & Community Services,23/03/2010,Elderly & Physical Disability,Moor Cottage Residential Home,"2,896.28",Revenue
Adult & Community Services,25/03/2010,Elderly & Physical Disability,Moor Cottage Residential Home,"1,992.86",Revenue
Adult & Community Services,06/01/2010,Windsor Leisure Centre,Morcom Woodley Electrical Services Ltd,"1,150.00",Revenue
Resources,24/03/2010,Directorate Support,Morgana Systems Limited,846,Revenue
Children's Services,26/02/2010,ISB,Morleys Of Bicester Ltd,668,Revenue
Childrens Services,15/02/2010,Schools-Devolved Capital,Morris & Blunt Ltd,"24,598.35",Capital
Childrens Services,22/03/2010,Schools-Devolved Capital,Morris & Blunt Ltd,"11,476.65",Capital
Adult & Community Services,19/01/2010,Library & Information Services,Morris & Blunt Ltd,"2,028.53",Capital
Children's Services,22/03/2010,DSG Funded School Costs,Morris & Blunt Ltd,"2,938.00",Revenue
Adult & Community Services,17/03/2010,Parks & Open Spaces,Morriss & Gale,545,Revenue
Adult & Community Services,17/03/2010,Parks & Open Spaces,Morriss & Gale,570,Revenue
Children's Services,10/02/2010,ISB,Motorfolio Ltd,"1,274.75",Revenue
Children's Services,16/03/2010,ISB,Motorfolio Ltd,750,Revenue
Resources,29/03/2010,Strategic Director Resources,Mouchel Management Consulting Ltd,"5,000.00",Revenue
Children's Services,14/01/2010,ISB,Mr S Grassi (Charters Junior Tennis Club),750,Revenue
Children's Services,18/02/2010,ISB,Mr S Grassi (Charters Junior Tennis Club),750,Revenue
Children's Services,03/03/2010,ISB,Mr S Grassi (Charters Junior Tennis Club),750,Revenue
Children's Services,13/01/2010,ISB,Mrs M Sams t/a Kool Kidz Klub,"5,642.73",Revenue
Children's Services,02/03/2010,ISB,Mrs M Sams t/a Kool Kidz Klub,"1,483.90",Revenue
Adult & Community Services,05/03/2010,Elderly & Physical Disability,MSS Helen Ley Care Centre,719.7,Revenue
Adult & Community Services,05/01/2010,Learning Disability,Mulberry House,"5,956.96",Revenue
Adult & Community Services,19/01/2010,Learning Disability,Mulberry House,"5,956.96",Revenue
Adult & Community Services,12/03/2010,Learning Disability,Mulberry House,"5,956.96",Revenue
Adult & Community Services,12/03/2010,Learning Disability,Mulberry House,"5,380.48",Revenue
Children's Services,05/02/2010,DSG Education & Childcare Services,Munchkins Pre-School Maidenhead LLP,500,Revenue
Children's Services,13/01/2010,ISB,Munchkins Pre-School Maidenhead LLP,"20,512.97",Revenue
Children's Services,02/03/2010,ISB,Munchkins Pre-School Maidenhead LLP,"5,787.21",Revenue
Children's Services,16/03/2010,Safeguarding & Specialist Services,Munchkins Pre-School Maidenhead LLP,810,Revenue
