"Wardcode","Wardname","Subgroup"
"30UMGC","Whitewell","1.1.1"
"30UMGD","Worsley","2.4.5"
"30UNFZ","Bamber Bridge East","8.15.24"
"30UNGA","Bamber Bridge North","8.15.24"
"30UNGB","Bamber Bridge West","8.15.24"
"30UNGC","Broad Oak","7.10.16"
"30UNGD","Charnock","8.15.24"
"30UNGE","Coupe Green and Gregson Lane","7.10.16"
"30UNGF","Earnshaw Bridge","8.15.24"
"30UNGG","Farington East","8.15.24"
"30UNGH","Farington West","7.10.16"
"30UNGJ","Golden Hill","1.2.3"
"30UNGK","Howick and Priory","7.10.16"
"30UNGL","Kingsfold","1.2.3"
"30UNGM","Leyland Central","7.10.17"
"30UNGN","Leyland St. Ambrose","8.15.24"
"30UNGP","Leyland St. Mary's","7.10.16"
"30UNGQ","Little Hoole and Much Hoole","7.10.16"
"30UNGR","Longton and Hutton West","7.10.16"
"30UNGS","Lostock Hall","8.15.24"
"30UNGT","Lowerhouse","1.2.3"
"30UNGU","Middleforth","1.1.2"
"30UNGW","Moss Side","7.11.18"
"30UNGX","New Longton and Hutton East","7.10.16"
"30UNGY","Samlesbury and Walton","1.1.2"
"30UNGZ","Seven Stars","8.15.24"
"30UNHA","Tardy Gate","8.15.24"
"30UNHB","Walton-le-Dale","7.10.16"
"30UNHC","Whitefield","1.1.2"
"30UPGD","Ashurst","8.15.24"
"30UPGE","Aughton and Downholland","9.17.26"
"30UPGF","Aughton Park","9.17.26"
"30UPGG","Bickerstaffe","8.13.21"
"30UPGH","Birch Green","2.3.4"
"30UPGJ","Burscough East","1.1.2"
"30UPGK","Burscough West","1.1.2"
"30UPGL","Derby","5.7.13"
"30UPGM","Digmoor","2.3.4"
"30UPGN","Halsall","7.10.16"
"30UPGP","Hesketh-with-Becconsall","7.10.16"
"30UPGQ","Knowsley","1.1.2"
"30UPGR","Moorside","2.3.4"
"30UPGS","Newburgh","9.17.26"
"30UPGT","North Meols","7.10.16"
"30UPGU","Parbold","9.17.26"
"30UPGW","Rufford","9.17.26"
"30UPGX","Scarisbrick","7.10.16"
"30UPGY","Scott","1.1.2"
"30UPGZ","Skelmersdale North","1.1.1"
"30UPHA","Skelmersdale South","1.1.1"
"30UPHB","Tanhouse","2.3.4"
"30UPHC","Tarleton","7.10.16"
"30UPHD","Up Holland","1.1.2"
"30UPHE","Wrightington","7.10.16"
"30UQGE","Bourne","8.13.22"
"30UQGF","Breck","8.13.22"
"30UQGG","Brock","8.13.21"
"30UQGH","Cabus","8.14.23"
"30UQGJ","Calder","9.17.26"
"30UQGK","Carleton","7.10.16"
"30UQGL","Catterall","7.10.16"
"30UQGM","Cleveleys Park","1.1.2"
"30UQGN","Garstang","8.14.23"
"30UQGP","Great Eccleston","9.17.26"
"30UQGQ","Hambleton and Stalmine-with-Staynall","8.14.23"
"30UQGR","Hardhorn","8.14.23"
"30UQGS","High Cross","8.14.23"
"30UQGT","Jubilee","3.5.8"
"30UQGU","Mount","2.4.5"
"30UQGW","Norcross","8.13.22"
"30UQGX","Park","1.2.3"
"30UQGY","Pharos","2.4.5"
"30UQGZ","Pilling","9.17.26"
"30UQHA","Preesall","8.14.23"
"30UQHB","Rossall","8.13.22"
"30UQHC","Staina","8.14.23"
"30UQHD","Tithebarn","1.1.2"
"30UQHE","Victoria","8.14.23"
"30UQHF","Warren","1.2.3"
"30UQHG","Wyresdale","8.13.21"
"31UBFY","Blaby South","8.15.24"
"31UBFZ","Cosby with South Whetstone","7.11.18"
"31UBGA","Countesthorpe","7.10.16"
"31UBGB","Croft Hill","7.10.16"
"31UBGC","Ellis","7.10.16"
"31UBGD","Enderby and St John's","8.15.24"
"31UBGE","Fairestone","7.10.16"
"31UBGF","Forest","7.11.18"
"31UBGG","Millfield","1.1.2"
"31UBGH","Muxloe","7.10.16"
"31UBGJ","Narborough and Littlethorpe","7.11.18"
"31UBGK","Normanton","7.10.16"
"31UBGL","North Whetstone","7.11.18"
"31UBGM","Pastures","7.11.18"
"31UBGN","Ravenhurst and Fosse","8.15.24"
"31UBGP","Saxondale","8.15.24"
"31UBGQ","Stanton and Flamville","7.10.16"
"31UBGR","Winstanley","7.10.17"
"31UCGG","Anstey","8.15.24"
"31UCGH","Barrow and Sileby West","7.10.16"
"31UCGJ","Birstall Wanlip","7.10.16"
"31UCGK","Birstall Watermead","8.15.24"
"31UCGL","East Goscote","8.15.24"
"31UCGM","Forest Bradgate","9.17.26"
"31UCGN","Loughborough Ashby","5.7.13"
"31UCGP","Loughborough Dishley and Hathern","8.15.24"
"31UCGQ","Loughborough Garendon","8.15.24"
"31UCGR","Loughborough Hastings","2.4.5"
"31UCGS","Loughborough Lemyngton","2.4.5"
"31UCGT","Loughborough Nanpantan","5.7.13"
"31UCGU","Loughborough Outwoods","7.10.16"
"31UCGW","Loughborough Shelthorpe","1.2.3"
"31UCGX","Loughborough Southfields","5.7.13"
"31UCGY","Loughborough Storer","5.7.13"
"31UCGZ","Mountsorrel","7.10.17"
"31UCHA","Queniborough","7.10.16"
"31UCHB","Quorn and Mountsorrel Castle","7.10.16"
"31UCHC","Rothley and Thurcaston","9.17.26"
"31UCHD","Shepshed East","8.15.24"
"31UCHE","Shepshed West","8.15.24"
"31UCHF","Sileby","8.15.24"
"31UCHG","Syston East","8.15.24"
"31UCHH","Syston West","7.10.17"
"31UCHJ","The Wolds","9.17.26"
"31UCHK","Thurmaston","8.15.24"
"31UCHL","Wreake Villages","9.17.26"
"31UDGD","Billesdon","8.13.21"
"31UDGE","Bosworth","9.17.26"
"31UDGF","Broughton Astley - Astley","7.11.18"
"31UDGG","Broughton Astley - Broughton","7.11.18"
"31UDGH","Broughton Astley - Primethorpe","7.10.16"
"31UDGJ","Broughton Astley - Sutton","7.10.16"
"31UDGK","Dunton","9.17.26"
"31UDGL","Fleckney","7.11.18"
"31UDGM","Glen","9.17.26"
"31UDGN","Kibworth","7.10.16"
"31UDGP","Lubenham","9.17.26"
"31UDGQ","Lutterworth Brookfield","7.11.18"
"31UDGR","Lutterworth Orchard","7.10.16"
"31UDGS","Lutterworth Springs","8.13.22"
"31UDGT","Lutterworth Swift","8.15.24"
"31UDGU","Market Harborough - Great Bowden and Ard","7.10.16"
"31UDGW","Market Harborough - Little Bowden","7.11.18"
"31UDGX","Market Harborough - Logan","7.10.16"
"31UDGY","Market Harborough - Welland","8.15.24"
"31UDGZ","Misterton","9.17.26"
"31UDHA","Nevill","9.17.26"
"31UDHB","Peatling","9.17.26"
"31UDHC","Thurnby and Houghton","7.10.16"
"31UDHD","Tilton","9.17.26"
"31UDHE","Ullesthorpe","9.17.26"
"31UEFU","Ambien","7.10.16"
"31UEFW","Barlestone","8.15.24"
"31UEFX","Barwell","8.15.24"
"31UEFY","Burbage St Catherines and Lash Hill","8.15.24"
"31UEFZ","Burbage Sketchley and Stretton","7.10.16"
"31UEGA","Cadeby","9.17.26"
"31UEGB","Earl Shilton","8.15.24"
"31UEGC","Groby","7.10.16"
"31UEGD","Hinckley Castle","8.15.24"
"31UEGE","Hinckley Clarendon","8.15.24"
"31UEGF","Hinckley De Montfort","7.10.16"
"31UEGG","Hinckley Trinity","8.15.24"
"31UEGH","Markfield","7.10.16"
"31UEGJ","Newbold Verdon with Desford and Peckleto","7.10.16"
"31UEGK","Ratby","8.15.24"
"31UEGL","Twycross and Witherley with Sheepy","9.17.26"
"31UGFT","Asfordby","8.15.24"
"31UGFU","Bottesford","7.10.16"
"31UGFW","Croxton Kerrial","8.13.21"
"31UGFX","Frisby-on-the-Wreake","9.17.26"
"31UGFY","Gaddesby","9.17.26"
"31UGFZ","Long Clawson and Stathern","9.17.26"
"31UGGA","Melton Craven","8.15.24"
"31UGGB","Melton Dorian","8.15.24"
"31UGGC","Melton Egerton","1.2.3"
"31UGGD","Melton Newport","8.15.24"
"31UGGE","Melton Sysonby","8.15.24"
"31UGGF","Melton Warwick","8.15.24"
"31UGGG","Old Dalby","7.10.16"
"31UGGH","Somerby","9.17.26"
"31UGGJ","Waltham-on-the-Wolds","9.17.26"
"31UGGK","Wymondham","8.13.21"
"31UHFZ","Appleby","9.17.26"
"31UHGA","Ashby Castle","9.17.26"
"31UHGB","Ashby Holywell","8.15.24"
"31UHGC","Ashby Ivanhoe","7.10.16"
"31UHGD","Bardon","7.11.18"
"31UHGE","Breedon","9.17.26"
"31UHGF","Castle Donington","7.10.16"
"31UHGG","Coalville","1.1.1"
"31UHGH","Greenhill","8.15.24"
"31UHGJ","Hugglescote","8.15.24"
"31UHGK","Ibstock and Heather","8.15.24"
"31UHGL","Kegworth and Whatton","7.10.16"
"31UHGM","Measham","8.15.24"
"31UHGN","Moira","8.15.24"
"31UHGP","Oakthorpe and Donisthorpe","8.15.24"
"31UHGQ","Ravenstone and Packington","7.10.16"
"31UHGR","Snibston","8.15.24"
"31UHGS","Thringstone","8.15.24"
"31UHGT","Valley","7.10.16"
"31UHGU","Whitwick","8.15.24"
"31UJFL","Oadby Brocks Hill","7.10.16"
"31UJFM","Oadby Grange","5.7.13"
"31UJFN","Oadby St Peter's","8.13.22"
"31UJFP","Oadby Uplands","7.10.16"
"31UJFQ","Oadby Woodlands","7.11.18"
"31UJFR","South Wigston","1.2.3"
"31UJFS","Wigston All Saints","8.15.24"
"31UJFT","Wigston Fields","8.15.24"
"31UJFU","Wigston Meadowcourt","7.10.17"
"31UJFW","Wigston St Wolstan's","1.1.2"
"32UBFT","Central","2.4.5"
"32UBFU","Coastal","7.10.16"
"32UBFW","Fenside","1.2.3"
"32UBFX","Fishtoft","7.10.16"
"32UBFY","Five Village","7.10.16"
"32UBFZ","Frampton and Holme","9.17.26"
"32UBGA","Kirton","8.15.24"
"32UBGB","North","8.14.23"
"32UBGC","Old Leake and Wrangle","8.13.21"
"32UBGD","Pilgrim","2.4.5"
"32UBGE","Skirbeck","1.2.3"
"32UBGF","South","7.10.16"
"32UBGG","Staniland South","8.13.22"
"32UBGH","Staniland North","1.2.3"
"32UBGJ","Swineshead and Holland Fen","7.10.16"
"32UBGK","West","7.10.16"
"32UBGL","Witham","8.13.22"
"32UBGM","Wyberton","8.15.24"
"32UCHC","Alford","8.13.22"
"32UCHD","Binbrook","8.14.23"
"32UCHE","Burgh le Marsh","8.14.23"
"32UCHF","Chapel St Leonards","8.14.23"
"32UCHG","Coningsby and Tattershall","7.11.18"
"32UCHH","Croft","8.13.21"
"32UCHJ","Frithville","8.13.21"
"32UCHK","Grimoldby","7.10.16"
"32UCHL","Halton Holegate","8.13.21"
"32UCHM","Holton le Clay","7.10.16"
"32UCHN","Horncastle","8.13.22"
"32UCHP","Hundleby","8.13.21"
"32UCHQ","Ingoldmells","8.14.23"
"32UCHR","Legbourne","8.13.21"
"32UCHS","Ludford","8.13.21"
"32UCHT","Mablethorpe Central","8.13.22"
"32UCHU","Mablethorpe East","8.13.22"
"32UCHW","Mablethorpe North","8.14.23"
"32UCHX","Mareham le Fen","8.13.21"
"32UCHY","Marshchapel","8.13.21"
"32UCHZ","North Holme","8.13.22"
"32UCJA","North Somercotes","8.13.21"
"32UCJB","North Thoresby","9.17.26"
"32UCJC","Priory","8.13.22"
"32UCJD","Roughton","8.13.21"
"32UCJE","St Clement's","8.13.22"
"32UCJF","St James'","3.5.8"
"32UCJG","St Margaret's","8.15.24"
"32UCJH","St Mary's","8.14.23"
"32UCJJ","St Michael's","8.15.24"
"32UCJK","Scarbrough","3.5.8"
"32UCJL","Seacroft","8.13.22"
"32UCJM","Sibsey","9.17.26"
"32UCJN","Skidbrooke with Saltfleet Haven","8.13.21"
"32UCJP","Spilsby","8.13.22"
"32UCJQ","Stickney","8.13.21"
"32UCJR","Sutton on Sea North","8.14.23"
"32UCJS","Sutton on Sea South","8.14.23"
"32UCJT","Tetford","8.13.21"
"32UCJU","Tetney","7.10.16"
"32UCJW","Trinity","1.2.3"
"32UCJX","Trusthorpe and Mablethorpe South","8.14.23"
"32UCJY","Wainfleet and Friskney","8.13.22"
"32UCJZ","Willoughby with Sloothby","8.13.21"
"32UCKA","Winthorpe","8.13.22"
"32UCKB","Withern with Stain","8.13.21"
"32UCKC","Woodhall Spa","8.14.23"
"32UCKD","Wragby","7.10.16"
"32UDFM","Abbey","2.4.5"
"32UDFN","Birchwood","1.2.3"
"32UDFP","Boultham","8.13.22"
"32UDFQ","Bracebridge","8.15.24"
"32UDFR","Carholme","5.7.12"
"32UDFS","Castle","2.4.5"
"32UDFT","Glebe","1.2.3"
"32UDFU","Hartsholme","8.15.24"
"32UDFW","Minster","8.13.22"
"32UDFX","Moorland","1.2.3"
"32UDFY","Park","2.4.5"
"32UEGH","Ashby de la Launde","7.11.18"
"32UEGJ","Bassingham","7.10.16"
"32UEGK","Billinghay","8.13.22"
"32UEGL","Bracebridge Heath and Waddington East","7.11.18"
"32UEGM","Branston and Mere","7.10.16"
"32UEGN","Brant Broughton","8.13.21"
"32UEGP","Cliff Villages","9.17.26"
"32UEGQ","Cranwell and Byard's Leap","7.11.18"
"32UEGR","Eagle and North Scarle","8.13.21"
"32UEGS","Heckington Rural","7.10.16"
"32UEGT","Heighington and Washingborough","7.10.16"
"32UEGU","Kyme","8.13.21"
"32UEGW","Leasingham and Roxholm","8.14.23"
"32UEGX","Martin","8.13.21"
"32UEGY","Metheringham","7.10.16"
"32UEGZ","North Hykeham Forum","7.10.16"
"32UEHA","North Hykeham Memorial","7.10.16"
"32UEHB","North Hykeham Mill","8.13.22"
"32UEHC","North Hykeham Moor","7.10.16"
"32UEHD","North Hykeham Witham","8.14.23"
"32UEHE","Osbournby","8.13.21"
"32UEHF","Ruskington","7.10.16"
"32UEHG","Skellingthorpe","7.10.16"
"32UEHH","Sleaford Castle","2.4.5"
"32UEHJ","Sleaford Holdingham","8.15.24"
"32UEHK","Sleaford Mareham","7.11.18"
"32UEHL","Sleaford Navigation","8.13.22"
"32UEHM","Sleaford Quarrington","7.11.18"
"32UEHN","Sleaford Westholme","8.13.22"
"32UEHP","Waddington West","7.10.16"
"32UFGA","Crowland","7.10.16"
"32UFGB","Deeping St Nicholas","7.10.16"
"32UFGC","Donington","7.10.16"
"32UFGD","Fleet","8.14.23"
"32UFGE","Gedney","7.10.16"
"32UFGF","Gosberton Village","8.14.23"
"32UFGG","Holbeach Hurn","7.10.16"
"32UFGH","Holbeach St John's","8.13.21"
"32UFGJ","Holbeach Town","8.13.22"
"32UFGK","Long Sutton","7.10.16"
"32UFGL","Pinchbeck","7.10.16"
"32UFGM","Spalding Castle","8.13.22"
"32UFGN","Spalding Monks House","8.15.24"
"32UFGP","Spalding St John's","8.15.24"
"32UFGQ","Spalding St Mary's","8.13.22"
"32UFGR","Spalding St Paul's","1.2.3"
"32UFGS","Spalding Wygate","7.10.16"
"32UFGT","Surfleet","7.10.16"
"32UFGU","Sutton Bridge","8.15.24"
"32UFGW","The Saints","8.13.21"
"32UFGX","Weston and Moulton","7.10.16"
"32UFGY","Whaplode","7.10.16"
"32UGGM","All Saints","1.2.3"
"32UGGN","Aveland","9.17.26"
"32UGGP","Barrowby","7.10.16"
"32UGGQ","Belmont","7.11.18"
"32UGGR","Bourne East","8.15.24"
"32UGGS","Bourne West","7.10.16"
"32UGGT","Deeping St James","7.10.16"
"32UGGU","Earlesfield","1.2.3"
"32UGGW","Ermine","7.10.16"
"32UGGX","Forest","8.13.21"
"32UGGY","Glen Eden","8.13.21"
"32UGGZ","Grantham St John's","2.4.5"
"32UGHA","Green Hill","7.10.16"
"32UGHB","Greyfriars","8.13.22"
"32UGHC","Harrowby","1.2.3"
"32UGHD","Heath","8.13.21"
"32UGHE","Hillsides","9.17.26"
"32UGHF","Isaac Newton","7.10.16"
"32UGHG","Lincrest","9.17.26"
"32UGHH","Loveden","9.17.26"
"32UGHJ","Market and West Deeping","7.10.16"
"32UGHK","Morkery","7.11.18"
"32UGHL","Peascliffe","8.13.22"
"32UGHM","Ringstone","7.11.18"
"32UGHN","St Anne's","2.4.5"
"32UGHP","St George's","7.10.17"
"32UGHQ","St Mary's","3.5.8"
"32UGHR","St Wulfram's","8.13.22"
"32UGHS","Saxonwell","9.17.26"
"32UGHT","Stamford St John's","7.11.18"
"32UGHU","Thurlby","9.17.26"
"32UGHW","Toller","7.10.16"
"32UGHX","Truesdale","7.11.18"
"32UGHY","Witham Valley","9.17.26"
"32UHGD","Bardney","7.10.16"
"32UHGE","Caistor","7.10.16"
"32UHGF","Cherry Willingham","8.14.23"
"32UHGG","Dunholme","7.10.16"
"32UHGH","Fiskerton","7.10.16"
"32UHGJ","Gainsborough East","2.3.4"
"32UHGK","Gainsborough North","1.2.3"
"32UHGL","Gainsborough South-West","2.4.5"
"32UHGM","Hemswell","8.13.21"
"32UHGN","Kelsey","9.17.26"
"32UHGP","Lea","7.10.16"
"32UHGQ","Market Rasen","8.13.22"
"32UHGR","Middle Rasen","8.13.21"
"32UHGS","Nettleham","8.14.23"
"32UHGT","Saxilby","7.10.16"
"32UHGU","Scampton","7.11.18"
"32UHGW","Scotter","9.17.26"
"32UHGX","Stow","8.13.21"
"32UHGY","Sudbrooke","9.17.26"
"32UHGZ","Thonock","7.10.16"
"32UHHA","Torksey","8.14.23"
"32UHHB","Waddingham and Spital","8.13.21"
"32UHHC","Welton","7.10.16"
"32UHHD","Wold View","8.13.21"
"32UHHE","Yarborough","7.10.16"
"33UBGU","All Saints","9.17.26"
"33UBGW","Buckenham","9.17.26"
"33UBGX","Burgh and Haverscroft","7.10.16"
"33UBGY","Conifer","7.10.16"
"33UBGZ","Dereham-Central","8.13.22"
"33UBHA","Dereham-Humbletoft","8.15.24"
"33UBHB","Dereham-Neatherd","8.13.22"
"33UBHC","Dereham-Toftwood","8.15.24"
"33UBHD","East Guiltcross","8.13.21"
"33UBHE","Eynsford","7.10.16"
"33UBHF","Haggard de Toni","7.10.16"
"33UBHG","Harling and Heathlands","7.10.16"
"33UBHH","Hermitage","8.13.21"
"33UBHJ","Launditch","8.13.21"
"33UBHK","Mid Forest","8.13.21"
"33UBHL","Nar Valley","7.10.16"
"33UBHM","Necton","8.14.23"
"33UBHN","Queen's","8.15.24"
"33UBHP","Shipdham","7.10.16"
"33UBHQ","Springvale and Scarning","7.10.16"
"33UBHR","Swaffham","8.13.22"
"33UBHS","Swanton Morley","7.11.18"
"33UBHT","Taverner","9.17.26"
"33UBHU","Templar","7.11.18"
"33UBHW","Thetford-Abbey","1.2.3"
"33UBHX","Thetford-Castle","8.13.22"
"33UBHY","Thetford-Guildhall","8.15.24"
"33UBHZ","Thetford-Saxon","1.2.3"
"33UBJA","Two Rivers","7.10.16"
"33UBJB","Upper Wensum","8.13.21"
"33UBJC","Upper Yare","9.17.26"
"33UBJD","Watton","8.13.22"
"33UBJE","Wayland","9.17.26"
"33UBJF","Weeting","7.10.16"
"33UBJG","West Guiltcross","8.13.21"
"33UBJH","Wissey","8.14.23"
"33UCGN","Acle","8.13.22"
"33UCGP","Aylsham","8.14.23"
"33UCGQ","Blofield with South Walsham","9.17.26"
"33UCGR","Brundall","7.10.16"
"33UCGS","Burlingham","7.10.16"
"33UCGT","Buxton","7.10.16"
"33UCGU","Coltishall","8.14.23"
"33UCGW","Drayton North","7.11.18"
"33UCGX","Drayton South","8.14.23"
"33UCGY","Eynesford","8.13.21"
"33UCGZ","Great Witchingham","8.13.21"
"33UCHA","Hellesdon North West","1.1.2"
"33UCHB","Hellesdon South East","7.10.16"
"33UCHC","Hevingham","7.10.16"
"33UCHD","Horsford and Felthorpe","7.11.18"
"33UCHE","Marshes","7.10.16"
"33UCHF","Old Catton and Sprowston West","7.10.16"
"33UCHG","Plumstead","9.17.26"
"33UCHH","Reepham","7.10.16"
"33UCHJ","Spixworth with St Faiths","7.10.16"
"33UCHK","Sprowston Central","7.10.17"
"33UCHL","Sprowston East","7.10.16"
"33UCHM","Taverham North","7.11.18"
"33UCHN","Taverham South","7.10.16"
"33UCHP","Thorpe St Andrew North West","1.1.2"
"33UCHQ","Thorpe St Andrew South East","7.11.18"
"33UCHR","Wroxham","7.10.16"
"33UDFY","Bradwell North","7.10.16"
"33UDFZ","Bradwell South and Hopton","8.13.22"
"33UDGA","Caister North","8.13.22"
"33UDGB","Caister South","8.13.22"
"33UDGC","Central and Northgate","2.4.5"
"33UDGD","Claydon","1.2.3"
"33UDGE","East Flegg","8.14.23"
"33UDGF","Fleggburgh","8.13.21"
"33UDGG","Gorleston","8.14.23"
"33UDGH","Lothingland","7.10.16"
"33UDGJ","Magdalen","1.2.3"
"33UDGK","Nelson","2.4.5"
"33UDGL","Ormesby","7.10.16"
"33UDGM","St Andrews","2.4.5"
"33UDGN","Southtown and Cobholm","2.4.5"
"33UDGP","West Flegg","7.10.16"
"33UDGQ","Yarmouth North","1.2.3"
"33UEGT","Airfield","7.11.18"
"33UEGU","Brancaster","8.14.23"
"33UEGW","Burnham","8.14.23"
"33UEGX","Clenchwarton","7.10.16"
"33UEGY","Denton","7.10.16"
"33UEGZ","Dersingham","8.14.23"
"33UEHA","Docking","8.13.21"
"33UEHB","Downham Old Town","8.13.22"
"33UEHC","East Downham","8.15.24"
"33UEHD","Emneth with Outwell","7.10.16"
"33UEHE","Fairstead","1.2.3"
"33UEHF","Gayton","7.10.16"
"33UEHG","Gaywood Chase","1.2.3"
"33UEHH","Gaywood North Bank","8.15.24"
"33UEHJ","Grimston","7.10.16"
"33UEHK","Heacham","8.14.23"
"33UEHL","Hilgay with Denver","7.10.16"
"33UEHM","Hunstanton","8.14.23"
"33UEHN","Mershe Lande","7.10.16"
"33UEHP","North Downham","8.14.23"
"33UEHQ","North Lynn","2.3.4"
"33UEHR","North Wootton","7.10.16"
"33UEHS","Old Gaywood","8.15.24"
"33UEHT","Priory","8.13.21"
"33UEHU","Rudham","8.13.21"
"33UEHW","St Lawrence","7.10.16"
"33UEHX","St Margarets with St Nicholas","3.5.8"
"33UEHY","Snettisham","8.14.23"
"33UEHZ","South and West Lynn","1.2.3"
"33UEJA","South Downham","8.14.23"
"33UEJB","South Wootton","9.17.26"
"33UEJC","Spellowfields","7.10.16"
"33UEJD","Springwood","7.10.16"
"33UEJE","Upwell and Delph","8.13.21"
"33UEJF","Valley Hill","8.13.21"
"33UEJG","Walpole","7.10.16"
"33UEJH","Walton","7.10.16"
"33UEJJ","Watlington","7.10.16"
"33UEJK","West Winch","7.10.16"
"33UEJL","Wiggenhall","8.13.21"
"33UEJM","Wimbotsham with Fincham","8.13.21"
"33UEJN","Wissey","7.10.16"
"33UFGP","Astley","8.13.21"
"33UFGQ","Briston","7.10.16"
"33UFGR","Chaucer","8.14.23"
"33UFGS","Corpusty","8.13.21"
"33UFGT","Cromer Town","3.5.8"
"33UFGU","Erpingham","8.13.21"
"33UFGW","Gaunt","8.13.21"
"33UFGX","Glaven Valley","8.14.23"
"33UFGY","Happisburgh","8.13.21"
"33UFGZ","High Heath","8.14.23"
"33UFHA","Holt","8.14.23"
"33UFHB","Hoveton","8.14.23"
"33UFHC","Lancaster North","8.15.24"
"33UFHD","Lancaster South","8.13.22"
"33UFHE","Mundesley","8.14.23"
"33UFHF","North Walsham East","8.13.22"
"33UFHG","North Walsham North","8.15.24"
"33UFHH","North Walsham West","8.13.22"
"33UFHJ","Poppyland","8.14.23"
"33UFHK","Priory","8.14.23"
"33UFHL","Roughton","7.10.16"
"33UFHM","Scottow","7.11.18"
"33UFHN","St Benet","8.14.23"
"33UFHP","Sheringham North","3.5.8"
"33UFHQ","Sheringham South","8.14.23"
"33UFHR","Stalham and Sutton","8.13.22"
"33UFHS","Suffield Park","8.13.22"
"33UFHT","The Raynhams","8.15.24"
"33UFHU","The Runtons","8.14.23"
"33UFHW","Walsingham","8.13.22"
"33UFHX","Waterside","8.14.23"
"33UFHY","Waxham","8.13.21"
"33UFHZ","Wensum","7.10.16"
"33UFJA","Worstead","7.10.16"
"33UGFS","Bowthorpe","1.2.3"
"33UGFT","Catton Grove","1.2.3"
"33UGFU","Crome","1.2.3"
"33UGFW","Eaton","8.14.23"
"33UGFX","Lakenham","1.2.3"
"33UGFY","Mancroft","3.5.8"
"33UGFZ","Mile Cross","2.3.4"
"33UGGA","Nelson","5.7.12"
"33UGGB","Sewell","2.4.5"
"33UGGC","Thorpe Hamlet","3.5.8"
"33UGGD","Town Close","5.7.12"
"33UGGE","University","5.7.13"
"33UGGF","Wensum","1.2.3"
"33UHGU","Abbey","8.13.22"
"33UHGW","Beck Vale","7.10.16"
"33UHGX","Bressingham and Burston","8.13.21"
"33UHGY","Brooke","9.17.26"
"33UHGZ","Bunwell","9.17.26"
"33UHHA","Chedgrave and Thurton","7.10.16"
"33UHHB","Cringleford","9.17.26"
"33UHHC","Cromwells","7.10.16"
"33UHHD","Dickleburgh","7.10.16"
"33UHHE","Diss","8.13.22"
"33UHHF","Ditchingham and Broome","7.10.16"
"33UHHG","Earsham","7.10.16"
"33UHHH","Easton","9.17.26"
"33UHHJ","Forncett","9.17.26"
"33UHHK","Gillingham","7.10.16"
"33UHHL","Harleston","8.13.22"
"33UHHM","Hempnall","9.17.26"
"33UHHN","Hethersett","7.10.16"
"33UHHP","Hingham and Deopham","7.10.16"
"33UHHQ","Loddon","8.13.22"
"33UHHR","Mulbarton","7.10.16"
"33UHHS","New Costessey","7.10.16"
"33UHHT","Newton Flotman","7.10.16"
"33UHHU","Northfields","8.13.22"
"33UHHW","Old Costessey","8.13.22"
"33UHHX","Poringland with the Framinghams","7.10.16"
"33UHHY","Rockland","9.17.26"
"33UHHZ","Roydon","7.10.16"
"33UHJA","Rustens","7.10.16"
"33UHJB","Scole","7.10.16"
"33UHJC","Stoke Holy Cross","7.10.16"
"33UHJD","Stratton","7.10.16"
"33UHJE","Tasburgh","9.17.26"
"33UHJF","Thurlton","9.17.26"
"33UHJG","Town","7.11.18"
"33UHJH","Wicklewood","9.17.26"
"34UBFN","Central","1.2.3"
"34UBFP","Danesholme","8.15.24"
"34UBFQ","East","1.1.1"
"34UBFR","Hazelwood","1.1.1"
"34UBFS","Hillside","8.15.24"
"34UBFT","Kingswood","2.3.4"
"34UBFU","Lloyds","1.1.1"
"34UBFW","Lodge Park","1.1.1"
"34UBFX","Rural East","7.10.16"
"34UBFY","Rural North","7.10.16"
"34UBFZ","Rural West","7.10.16"
"34UBGA","Shire Lodge","1.1.1"
"34UBGB","West","1.1.1"
"34UCGD","Abbey North","7.10.17"
"34UCGE","Abbey South","8.13.22"
"34UCGF","Badby","9.17.26"
"34UCGG","Barby and Kilsby","7.10.16"
"34UCGH","Boughton and Pitsford","9.17.26"
"34UCGJ","Brampton","9.17.26"
"34UCGK","Braunston","7.10.16"
"34UCGL","Brixworth","7.11.18"
"34UCGM","Byfield","9.17.26"
"34UCGN","Clipston","9.17.26"
"34UCGP","Crick","9.17.26"
"34UCGQ","Drayton","8.15.24"
"34UCGR","Flore","9.17.26"
"34UCGS","Hill","1.2.3"
"34UCGT","Long Buckby","7.10.16"
"34UCGU","Moulton","7.10.16"
"34UCGW","Ravensthorpe","9.17.26"
"34UCGX","Spratton","7.10.16"
"34UCGY","Walgrave","9.17.26"
"34UCGZ","Weedon","7.10.16"
"34UCHA","Welford","9.17.26"
"34UCHB","West Haddon and Guilsborough","7.11.18"
"34UCHC","Woodford","7.11.18"
"34UCHD","Yelvertoft","9.17.26"
"34UDFX","Barnwell","9.17.26"
"34UDFY","Dryden","7.10.16"
"34UDFZ","Fineshade","9.17.26"
"34UDGA","Higham Ferrers","8.15.24"
"34UDGB","Irthlingborough","8.15.24"
"34UDGC","King's Forest","9.17.26"
"34UDGD","Lower Nene","9.17.26"
"34UDGE","Lyveden","7.10.16"
"34UDGF","Oundle","7.12.19"
"34UDGG","Prebendal","9.17.26"
"34UDGH","Raunds Saxon","7.10.16"
"34UDGJ","Raunds Windmill","8.15.24"
